Top Ranking															
	Market ALL (SET+mai)														
70	BCH01P1902A	0.68	0.86	0.64	0.8	17.65	"43,059,600.00"	"33,274,228.00"	"43,059,600.00"	"33,274,228.00"	71.48	"48,192,000.00"	-	-	-
71	KCE01C1906A	0.3	0.36	0.3	0.35	16.67	"10,110,900.00"	"3,418,466.00"	"10,110,900.00"	"3,418,466.00"	10.11	"35,000,000.00"	-	-	-
72	BJC13C1903A	0.06	0.07	0.07	0.07	16.67	"9,000.00"	630	"9,000.00"	630	0.01	"8,400,000.00"	-	-	-
73	PTG01C1902A	0.06	0.07	0.06	0.07	16.67	"5,803,200.00"	"348,194.00"	"5,803,200.00"	"348,194.00"	8.67	"4,687,200.00"	-	-	-
74	AOT07C1902A	0.3	0.35	0.35	0.35	16.67	"275,000.00"	"96,250.00"	"275,000.00"	"96,250.00"	0.55	"17,500,000.00"	-	-	-
75	TCMC-W2	0.06	0.07	0.06	0.07	16.67	"616,100.00"	"37,926.00"	"616,100.00"	"37,926.00"	0.24	"17,807,742.75"	-	-	-
76	AOT28C1905A	0.25	0.3	0.29	0.29	16	"3,568,100.00"	"1,035,769.00"	"3,568,100.00"	"1,035,769.00"	8.92	"11,600,000.00"	-	-	-
77	AOT08C1904A	0.26	0.3	0.29	0.3	15.38	"4,450,600.00"	"1,290,764.00"	"4,450,600.00"	"1,290,764.00"	5.56	"24,000,000.00"	-	-	-
78	SIRI19C1906A	0.2	0.23	0.21	0.23	15	"927,100.00"	"203,044.00"	"927,100.00"	"203,044.00"	0.77	"27,600,000.00"	-	-	-
79	MTC24C1903A	0.2	0.23	0.22	0.23	15	"600,000.00"	"135,000.00"	"600,000.00"	"135,000.00"	1.2	"11,500,000.00"	-	-	-
80	AOT11C1906A	0.2	0.23	0.22	0.23	15	"259,700.00"	"57,243.00"	"259,700.00"	"57,243.00"	0.29	"20,700,000.00"	-	-	-
81	TKN13C1905A	0.07	0.08	0.07	0.08	14.29	"55,000.00"	"4,000.00"	"55,000.00"	"4,000.00"	0.05	"9,600,000.00"	-	-	-
82	AOT01C1904B	0.21	0.25	0.23	0.24	14.29	"13,758,900.00"	"3,295,087.00"	"13,758,900.00"	"3,295,087.00"	18.11	"18,235,200.00"	-	-	-
83	AOT06C1903A	0.22	0.25	0.24	0.25	13.64	"4,659,100.00"	"1,164,225.00"	"4,659,100.00"	"1,164,225.00"	7.77	"15,000,000.00"	-	-	-
84	AOT01C1902A	0.38	0.43	0.41	0.43	13.16	"24,321,300.00"	"10,209,988.00"	"24,321,300.00"	"10,209,988.00"	27.48	"38,059,300.00"	-	-	-
85	HANA28C1904A	0.08	0.09	0.09	0.09	12.5	"1,875,600.00"	"168,804.00"	"1,875,600.00"	"168,804.00"	2.29	"7,380,000.00"	-	-	-
86	HANA01C1905A	0.16	0.18	0.17	0.18	12.5	"3,007,800.00"	"523,423.00"	"3,007,800.00"	"523,423.00"	6.11	"8,859,600.00"	-	-	-
87	THAN13C1902A	0.08	0.09	0.07	0.09	12.5	"807,900.00"	"64,674.00"	"807,900.00"	"64,674.00"	0.67	"10,800,000.00"	-	-	-
88	TOA01C1901A	0.08	0.09	0.09	0.09	12.5	"188,200.00"	"16,938.00"	"188,200.00"	"16,938.00"	0.28	"6,118,200.00"	-	-	-
89	TWZ	0.08	0.1	0.08	0.09	12.5	"102,819,600.00"	"9,250,360.00"	"102,819,667.00"	"9,250,364.71"	1.2	"769,405,746.87"	17.09	0.33	0.85
90	AOT13C1904A	0.42	0.47	0.45	0.47	11.9	"4,448,300.00"	"2,053,104.00"	"4,448,300.00"	"2,053,104.00"	3.71	"56,400,000.00"	-	-	-
91	ORI19C1905A	0.34	0.41	0.37	0.38	11.76	"4,989,600.00"	"1,948,133.00"	"4,989,600.00"	"1,948,133.00"	4.16	"45,600,000.00"	-	-	-
92	ESSO11C1905A	0.17	0.2	0.19	0.19	11.76	"302,200.00"	"58,324.00"	"302,200.00"	"58,324.00"	0.34	"17,100,000.00"	-	-	-
93	SCB06C1903A	0.18	0.2	0.2	0.2	11.11	"850,000.00"	"170,000.00"	"850,000.00"	"170,000.00"	1.42	"12,000,000.00"	-	-	-
94	WORK28C1905A	0.09	0.1	0.1	0.1	11.11	"813,600.00"	"81,360.00"	"813,600.00"	"81,360.00"	0.67	"12,200,000.00"	-	-	-
95	PTTE08C1904A	0.09	0.12	0.09	0.1	11.11	"525,900.00"	"54,509.00"	"525,900.00"	"54,509.00"	0.66	"8,000,000.00"	-	-	-
96	SCC42C1904A	0.09	0.1	0.1	0.1	11.11	"138,400.00"	"13,840.00"	"138,400.00"	"13,840.00"	0.23	"6,000,000.00"	-	-	-
97	HMPR28C1903A	0.09	0.1	0.1	0.1	11.11	"400,000.00"	"40,000.00"	"400,000.00"	"40,000.00"	0.4	"10,100,000.00"	-	-	-
98	BLAN01C1903A	0.09	0.1	0.1	0.1	11.11	"926,700.00"	"92,670.00"	"926,700.00"	"92,670.00"	1.88	"4,933,000.00"	-	-	-
99	AMAT01P1903A	0.56	0.62	0.56	0.62	10.71	"19,083,400.00"	"11,245,418.00"	"19,083,400.00"	"11,245,418.00"	47.71	"24,800,000.00"	-	-	-
100	DCORP	0.85	1.01	0.88	0.94	10.59	"95,433,200.00"	"90,585,066.00"	"95,433,201.00"	"90,585,067.10"	16.25	"552,163,305.68"	N/A	1.11	N/A
101	ORI28C1904B	0.19	0.23	0.2	0.21	10.53	"4,944,200.00"	"1,061,762.00"	"4,944,200.00"	"1,061,762.00"	5.49	"18,900,000.00"	-	-	-
102	TPI01C1906B	0.19	0.21	0.21	0.21	10.53	"199,200.00"	"41,832.00"	"199,200.00"	"41,832.00"	0.36	"11,667,600.00"	-	-	-
103	CKP08C1903B	0.1	0.12	0.1	0.11	10	"2,864,300.00"	"318,177.00"	"2,864,300.00"	"318,177.00"	3.58	"8,800,000.00"	-	-	-
104	WP	5.1	5.6	5.1	5.6	9.8	"5,611,100.00"	"30,630,320.00"	"5,611,221.00"	"30,630,954.65"	1.08	"2,903,600,000.00"	11.82	3.15	N/A
105	IRPC01P1903B	0.42	0.46	0.4	0.46	9.52	"2,835,500.00"	"1,255,704.00"	"2,835,500.00"	"1,255,704.00"	3.52	"37,085,200.00"	-	-	-
106	CHG01P1903A	0.84	0.92	0.83	0.92	9.52	"22,325,200.00"	"19,690,653.00"	"22,325,200.00"	"19,690,653.00"	55.81	"36,800,000.00"	-	-	-
107	ORI28C1904A	0.32	0.38	0.34	0.35	9.37	"6,533,200.00"	"2,358,670.00"	"6,533,200.00"	"2,358,670.00"	7.26	"31,500,000.00"	-	-	-
108	TRUE01P1902B	0.32	0.35	0.32	0.35	9.37	"14,179,100.00"	"4,689,072.00"	"14,179,100.00"	"4,689,072.00"	8.27	"59,997,000.00"	-	-	-
109	HANA13C1905A	0.11	0.12	0.12	0.12	9.09	"4,117,600.00"	"494,112.00"	"4,117,600.00"	"494,112.00"	3.43	"14,400,000.00"	-	-	-
110	SPAL13C1904A	0.11	0.12	0.12	0.12	9.09	"8,315,400.00"	"997,848.00"	"8,315,400.00"	"997,848.00"	6.93	"14,400,000.00"	-	-	-
111	BLA27C1905A	0.11	0.12	0.11	0.12	9.09	"180,000.00"	"20,400.00"	"180,000.00"	"20,400.00"	0.36	"6,000,000.00"	-	-	-
112	WHAU27C1905A	0.11	0.12	0.12	0.12	9.09	"720,000.00"	"86,400.00"	"720,000.00"	"86,400.00"	1.44	"6,000,000.00"	-	-	-
113	TRUE13P1901A	0.11	0.12	0.1	0.12	9.09	"45,891,300.00"	"5,496,756.00"	"45,891,300.00"	"5,496,756.00"	38.24	"14,400,000.00"	-	-	-
114	CPAL07C1902A	0.22	0.24	0.24	0.24	9.09	100	24	100	24	N/A	"12,000,000.00"	-	-	-
115	EGCO19C1901A	0.22	0.24	0.23	0.24	9.09	"984,200.00"	"235,123.00"	"984,200.00"	"235,123.00"	0.82	"28,800,000.00"	-	-	-
116	EA23C1901A	0.22	0.24	0.23	0.24	9.09	"3,000,000.00"	"705,000.00"	"3,000,000.00"	"705,000.00"	3	"24,000,000.00"	-	-	-
117	S5028P1901A	0.46	0.5	0.38	0.5	8.7	"427,000.00"	"188,989.00"	"427,000.00"	"188,989.00"	0.71	"30,000,000.00"	-	-	-
118	CPAL06C1903A	0.35	0.38	0.36	0.38	8.57	"662,000.00"	"251,520.00"	"662,000.00"	"251,520.00"	1.1	"22,800,000.00"	-	-	-
119	CBG16C1912A	0.36	0.39	0.39	0.39	8.33	"160,300.00"	"62,517.00"	"160,300.00"	"62,517.00"	0.4	"15,600,000.00"	-	-	-
120	HANA01C1905B	0.12	0.15	0.13	0.13	8.33	"687,300.00"	"90,176.00"	"687,300.00"	"90,176.00"	1.48	"6,026,800.00"	-	-	-
121	GUNK24C1903A	0.12	0.13	0.13	0.13	8.33	"50,000.00"	"6,500.00"	"50,000.00"	"6,500.00"	0.1	"6,500,000.00"	-	-	-
122	IVL13P1902A	0.12	0.13	0.11	0.13	8.33	"993,600.00"	"117,299.00"	"993,600.00"	"117,299.00"	0.83	"15,600,000.00"	-	-	-
123	IRPC01P1903A	0.6	0.66	0.62	0.65	8.33	"2,228,600.00"	"1,426,010.00"	"2,228,600.00"	"1,426,010.00"	3.16	"45,799,000.00"	-	-	-
124	TMB06C1903A	0.12	0.13	0.11	0.13	8.33	"30,100.00"	"3,313.00"	"30,100.00"	"3,313.00"	0.05	"7,800,000.00"	-	-	-
125	AOT27C1902A	0.12	0.13	0.13	0.13	8.33	"720,000.00"	"93,600.00"	"720,000.00"	"93,600.00"	1.44	"6,500,000.00"	-	-	-
126	CPAL13C1901A	0.12	0.13	0.13	0.13	8.33	"430,400.00"	"55,952.00"	"430,400.00"	"55,952.00"	0.36	"15,600,000.00"	-	-	-
127	AOT01C1902B	0.12	0.13	0.13	0.13	8.33	"39,083,000.00"	"5,080,790.00"	"39,083,000.00"	"5,080,790.00"	44.12	"11,515,400.00"	-	-	-
128	CI-W1	0.12	0.14	0.12	0.13	8.33	"46,400.00"	"5,734.00"	"46,413.00"	"5,735.56"	0.05	"12,851,188.87"	-	-	-
129	AOT23C1906A	0.37	0.4	0.4	0.4	8.11	"2,428,400.00"	"971,360.00"	"2,428,400.00"	"971,360.00"	4.86	"20,000,000.00"	-	-	-
130	TPI01C1906A	0.25	0.27	0.27	0.27	8	"228,200.00"	"61,614.00"	"228,200.00"	"61,614.00"	0.38	"16,151,400.00"	-	-	-
131	TRUE19P1903A	0.25	0.27	0.25	0.27	8	"7,500,700.00"	"1,946,982.00"	"7,500,700.00"	"1,946,982.00"	6.25	"32,400,000.00"	-	-	-
132	DTAC06C1903A	0.25	0.27	0.27	0.27	8	"367,000.00"	"99,090.00"	"367,000.00"	"99,090.00"	0.61	"16,200,000.00"	-	-	-
133	AOT01C1904A	0.38	0.42	0.4	0.41	7.89	"15,286,900.00"	"6,268,084.00"	"15,286,900.00"	"6,268,084.00"	18.56	"33,771,700.00"	-	-	-
134	CKP13C1903A	0.38	0.45	0.4	0.41	7.89	"7,057,500.00"	"2,983,528.00"	"7,057,500.00"	"2,983,528.00"	5.88	"49,200,000.00"	-	-	-
135	PTTE41C1905A	0.26	0.28	0.28	0.28	7.69	"50,000.00"	"14,000.00"	"50,000.00"	"14,000.00"	0.1	"14,000,000.00"	-	-	-
136	ORI13C1904B	0.26	0.3	0.27	0.28	7.69	"26,726,700.00"	"7,669,296.00"	"26,726,700.00"	"7,669,296.00"	22.27	"33,600,000.00"	-	-	-
137	BCP01C1903A	0.13	0.14	0.14	0.14	7.69	"13,313,000.00"	"1,863,820.00"	"13,313,000.00"	"1,863,820.00"	23.58	"7,904,400.00"	-	-	-
138	ERW24C1904A	0.13	0.14	0.14	0.14	7.69	"2,800.00"	392	"2,800.00"	392	0.01	"7,000,000.00"	-	-	-
139	SCB01C1902B	0.26	0.29	0.28	0.28	7.69	"12,166,500.00"	"3,460,882.00"	"12,166,500.00"	"3,460,882.00"	16.51	"20,636,000.00"	-	-	-
140	INTU11P1905A	0.26	0.28	0.26	0.28	7.69	"1,469,000.00"	"396,875.00"	"1,469,000.00"	"396,875.00"	3.57	"11,508,000.00"	-	-	-
141	CKP01C1906A	0.27	0.3	0.28	0.29	7.41	"15,389,900.00"	"4,414,954.00"	"15,389,900.00"	"4,414,954.00"	20.89	"21,367,200.00"	-	-	-
142	TOA28C1904A	0.14	0.15	0.15	0.15	7.14	"405,600.00"	"60,840.00"	"405,600.00"	"60,840.00"	0.45	"13,500,000.00"	-	-	-
143	SCB01C1904B	0.14	0.16	0.15	0.15	7.14	"3,200,500.00"	"480,080.00"	"3,200,500.00"	"480,080.00"	4.32	"11,106,000.00"	-	-	-
144	KTB13C1903A	0.14	0.15	0.15	0.15	7.14	"1,200,800.00"	"180,120.00"	"1,200,800.00"	"180,120.00"	1	"18,000,000.00"	-	-	-
145	MINT01P1901A	0.14	0.15	0.14	0.15	7.14	"5,364,800.00"	"791,933.00"	"5,364,800.00"	"791,933.00"	6.68	"12,043,500.00"	-	-	-
146	S5006P1903D	0.43	0.49	0.36	0.46	6.98	"12,183,300.00"	"5,240,171.00"	"12,183,300.00"	"5,240,171.00"	20.31	"27,600,000.00"	-	-	-
147	MTC27C1904A	0.44	0.47	0.47	0.47	6.82	"10,000.00"	"4,700.00"	"10,000.00"	"4,700.00"	0.02	"23,500,000.00"	-	-	-
148	ESSO13C1905A	0.15	0.17	0.16	0.16	6.67	"6,853,800.00"	"1,152,186.00"	"6,853,800.00"	"1,152,186.00"	5.71	"19,200,000.00"	-	-	-
149	PRM19C1906A	0.15	0.18	0.16	0.16	6.67	"689,900.00"	"115,620.00"	"689,900.00"	"115,620.00"	0.57	"19,200,000.00"	-	-	-
150	GLOB01C1903B	0.15	0.19	0.16	0.16	6.67	"25,695,800.00"	"4,508,679.00"	"25,695,800.00"	"4,508,679.00"	58.95	"6,974,400.00"	-	-	-
151	KTB08C1903A	0.15	0.16	0.15	0.16	6.67	"997,100.00"	"157,663.00"	"997,100.00"	"157,663.00"	1.25	"12,800,000.00"	-	-	-
152	KTB19C1901A	0.15	0.16	0.15	0.16	6.67	"1,160,800.00"	"183,916.00"	"1,160,800.00"	"183,916.00"	0.97	"19,200,000.00"	-	-	-
153	INTU42P1904A	0.31	0.33	0.31	0.33	6.45	"1,834,800.00"	"596,916.00"	"1,834,800.00"	"596,916.00"	3.06	"19,800,000.00"	-	-	-
154	CPF13C1903A	0.31	0.33	0.33	0.33	6.45	"4,558,800.00"	"1,504,404.00"	"4,558,800.00"	"1,504,404.00"	3.8	"39,600,000.00"	-	-	-
155	STEC01P1902A	0.62	0.67	0.6	0.66	6.45	"6,659,600.00"	"4,350,738.00"	"6,659,600.00"	"4,350,738.00"	16.49	"26,650,800.00"	-	-	-
156	MNIT	1.4	1.49	1.49	1.49	6.43	700	"1,043.00"	700	"1,043.00"	N/A	"205,620,000.00"	-	0.29	4.36
157	MTC06C1903A	0.32	0.35	0.34	0.34	6.25	"678,100.00"	"234,779.00"	"678,100.00"	"234,779.00"	1.13	"20,400,000.00"	-	-	-
158	S5006P1903B	0.8	0.85	0.72	0.85	6.25	"603,800.00"	"464,206.00"	"603,800.00"	"464,206.00"	1.01	"51,000,000.00"	-	-	-
159	CKP27C1905A	0.16	0.17	0.17	0.17	6.25	"300,000.00"	"51,000.00"	"300,000.00"	"51,000.00"	0.6	"8,500,000.00"	-	-	-
160	LH27P1905A	0.32	0.34	0.32	0.34	6.25	"1,040,000.00"	"349,550.00"	"1,040,000.00"	"349,550.00"	2.08	"17,000,000.00"	-	-	-
161	SCC01C1901B	0.16	0.19	0.17	0.17	6.25	"15,454,000.00"	"2,788,220.00"	"15,454,000.00"	"2,788,220.00"	13.84	"18,977,100.00"	-	-	-
162	TCAP01C1901A	0.49	0.53	0.5	0.52	6.12	"2,499,200.00"	"1,300,734.00"	"2,499,200.00"	"1,300,734.00"	2.02	"64,178,400.00"	-	-	-
163	SOLAR	2.02	2.34	2.06	2.14	5.94	"9,926,500.00"	"22,147,542.00"	"9,926,529.00"	"22,147,602.32"	1.82	"1,164,426,907.22"	N/A	0.78	N/A
164	GLOB24C1906A	0.17	0.2	0.18	0.18	5.88	"15,120,200.00"	"3,023,697.00"	"15,120,200.00"	"3,023,697.00"	30.24	"9,000,000.00"	-	-	-
