Top Ranking															
	Market ALL (SET+mai)														
Rank By :	% Change														
Period :	Daily  10/01/2019 To 10/01/2019														
Rank	Symbol	Prior	High	Low	Close	% Change	AOM Volume (Shares)	AOM Value (Baht)	Total Volume (Shares)	Total Value (Baht)	Turnover Ratio (%)	Market Capital (Baht)	P/E* (Times)	P/BV* (Times)	Dividend Yield (%)
35	KCE13C1905A	0.19	0.23	0.19	0.23	21.05	"5,676,900.00"	"1,267,877.00"	"5,676,900.00"	"1,267,877.00"	4.73	"27,600,000.00"	-	-	-
36	ADVA11P1905A	0.24	0.29	0.24	0.29	20.83	"2,754,300.00"	"771,038.00"	"2,754,300.00"	"771,038.00"	3.06	"26,100,000.00"	-	-	-
37	KBAN28P1904A	0.49	0.61	0.48	0.59	20.41	"10,861,000.00"	"6,197,875.00"	"10,861,000.00"	"6,197,875.00"	19.05	"33,630,000.00"	-	-	-
38	KBAN13P1905A	0.74	0.91	0.74	0.89	20.27	"45,992,200.00"	"38,828,240.00"	"45,992,200.00"	"38,828,240.00"	38.33	"106,800,000.00"	-	-	-
39	ROBI13C1902A	0.15	0.2	0.15	0.18	20	"3,158,600.00"	"545,269.00"	"3,158,600.00"	"545,269.00"	2.63	"21,600,000.00"	-	-	-
40	HANA08C1903A	0.05	0.06	0.05	0.06	20	"3,500.00"	206	"3,500.00"	206	N/A	"4,800,000.00"	-	-	-
41	TRUE01P1902B	0.35	0.44	0.33	0.42	20	"11,756,800.00"	"4,416,339.00"	"11,756,800.00"	"4,416,339.00"	6.86	"71,996,400.00"	-	-	-
42	HANA11C1904A	0.05	0.06	0.06	0.06	20	600	36	600	36	N/A	"2,286,000.00"	-	-	-
43	CPAL19C1902A	0.21	0.25	0.21	0.25	19.05	"11,132,500.00"	"2,566,825.00"	"11,132,500.00"	"2,566,825.00"	9.28	"30,000,000.00"	-	-	-
44	ADVA19P1904A	0.37	0.45	0.37	0.44	18.92	"10,844,300.00"	"4,636,104.00"	"10,844,300.00"	"4,636,104.00"	9.04	"52,800,000.00"	-	-	-
45	TRUE19P1903A	0.27	0.32	0.26	0.32	18.52	"2,112,000.00"	"580,014.00"	"2,112,000.00"	"580,014.00"	1.76	"38,400,000.00"	-	-	-
46	INTU42P1904A	0.33	0.4	0.34	0.39	18.18	"1,813,600.00"	"663,300.00"	"1,813,600.00"	"663,300.00"	3.02	"23,400,000.00"	-	-	-
