<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRUE01P1905A,20190110,0.64,0.64,0.64,0.64,10756000
CPAL13C1903A,20190110,0.64,0.64,0.64,0.64,42501200
SMART,20190110,0.96,0.96,0.96,0.96,3683900
MINT01C1906A,20190110,0.33,0.33,0.33,0.33,11160300
PTT06C1903A,20190110,0.11,0.11,0.11,0.11,1270000
MINT07C1906A,20190110,0.22,0.22,0.22,0.22,5000
EA13C1903A,20190110,0.11,0.11,0.11,0.11,4018000
SCC27P1904A,20190110,0.44,0.44,0.44,0.44,1657000
ROBI08C1903A,20190110,0.22,0.22,0.22,0.22,1512600
SCB42C1903A,20190110,0.11,0.11,0.11,0.11,204000
TU11C1906A,20190110,0.11,0.11,0.11,0.11,1772900
TU01C1901B,20190110,0.34,0.34,0.34,0.34,5861100
KBAN01P1904A,20190110,0.91,0.91,0.91,0.91,12092600
INTU01P1903B,20190110,0.57,0.57,0.57,0.57,7045600
BBL19P1904A,20190110,0.23,0.23,0.23,0.23,11613700
CRANE-W1,20190110,0.92,0.92,0.92,0.92,700
KCE01C1906A,20190110,0.35,0.35,0.35,0.35,7253800
SGP06C1903A,20190110,0.24,0.24,0.24,0.24,501000
HANA13C1905A,20190110,0.12,0.12,0.12,0.12,8926900
CPAL11C1909A,20190110,0.48,0.48,0.48,0.48,1941200
MINT28C1904A,20190110,0.12,0.12,0.12,0.12,10671900
PTT01C1904B,20190110,0.12,0.12,0.12,0.12,12162800
TU01C1901A,20190110,0.51,0.51,0.51,0.51,5360000
CPAL01C1904A,20190110,0.77,0.77,0.77,0.77,14430700
TU19C1906A,20190110,0.39,0.39,0.39,0.39,4489500
THAI19C1905A,20190110,0.26,0.26,0.26,0.26,429900
IVL13P1903A,20190110,0.13,0.13,0.13,0.13,2175400
IVL13P1902A,20190110,0.13,0.13,0.13,0.13,3760900
AOT01C1902B,20190110,0.13,0.13,0.13,0.13,18267700
CI-W1,20190110,0.13,0.13,0.13,0.13,6800
FN,20190110,1.45,1.45,1.45,1.45,8723700
CPAL23C1906A,20190110,0.54,0.54,0.54,0.54,70000
BBL08P1904A,20190110,0.27,0.27,0.27,0.27,3173500
HMPR27P1905A,20190110,0.27,0.27,0.27,0.27,1070600
KCE08C1905A,20190110,0.28,0.28,0.28,0.28,3316200
CPF24C1904A,20190110,0.42,0.42,0.42,0.42,600000
GGC28C1905A,20190110,0.14,0.14,0.14,0.14,607000
CPAL27C1903A,20190110,0.28,0.28,0.28,0.28,720000
SIRI01P1901A,20190110,1.13,1.13,1.13,1.13,271600
BBL27P1904A,20190110,0.43,0.43,0.43,0.43,1590400
IRCP,20190110,0.58,0.58,0.58,0.58,3999900
TFI,20190110,0.29,0.29,0.29,0.29,70900
ROBI01C1903A,20190110,0.59,0.59,0.59,0.59,5423300
MINT01C1906B,20190110,0.30,0.30,0.30,0.30,17583800
PTG19C1905A,20190110,0.75,0.75,0.75,0.75,5432500
GLOB01C1903A,20190110,0.30,0.30,0.30,0.30,2128200
CPF01C1902A,20190110,0.15,0.15,0.15,0.15,26945600
THAI11C1906A,20190110,0.15,0.15,0.15,0.15,65400
PTG01C1905B,20190110,0.76,0.76,0.76,0.76,8974200
S5006P1903D,20190110,0.46,0.46,0.46,0.46,7518000
EA28C1905A,20190110,0.31,0.31,0.31,0.31,29102100
BLAN19C1906A,20190110,0.16,0.16,0.16,0.16,113500
TOP28C1904A,20190110,0.16,0.16,0.16,0.16,5399200
PTT13C1903A,20190110,0.16,0.16,0.16,0.16,24518400
BCH01P1902A,20190110,0.80,0.80,0.80,0.80,31418500
CCP,20190110,0.32,0.32,0.32,0.32,1553000
ROCK,20190110,16.00,16.00,16.00,16.00,10200
M-CHAI,20190110,179.00,179.00,179.00,179.00,1900
STEC01P1902A,20190110,0.66,0.66,0.66,0.66,11736700
TPAC,20190110,10.10,10.10,10.10,10.10,25000
EA13C1905A,20190110,0.34,0.34,0.34,0.34,6270300
MEGA01C1904A,20190110,0.17,0.17,0.17,0.17,2175300
CENT01C1903A,20190110,0.34,0.34,0.34,0.34,6104700
WHA24C1902A,20190110,0.17,0.17,0.17,0.17,40000
BSM,20190110,0.51,0.51,0.51,0.51,869500
INTU01P1903A,20190110,0.87,0.87,0.87,0.87,5599900
BANP01C1905A,20190110,0.35,0.35,0.35,0.35,5455700
SIRI01P1907A,20190110,0.36,0.36,0.36,0.36,1693400
SGP13C1905A,20190110,0.36,0.36,0.36,0.36,13742200
CPAL24C1903A,20190110,0.18,0.18,0.18,0.18,319900
GULF01P1906A,20190110,0.93,0.93,0.93,0.93,5684300
PTT13C1906A,20190110,0.38,0.38,0.38,0.38,25813400
SCB28C1904A,20190110,0.19,0.19,0.19,0.19,7222000
BANP11C1909A,20190110,0.19,0.19,0.19,0.19,1056000
PTG28C1904A,20190110,0.38,0.38,0.38,0.38,8197400
IVL19P1903A,20190110,0.19,0.19,0.19,0.19,2775600
ROBI27C1905A,20190110,0.38,0.38,0.38,0.38,1350000
CPN13C1903A,20190110,0.19,0.19,0.19,0.19,7502000
IVL08P1903A,20190110,0.38,0.38,0.38,0.38,2247800
BKD-W2,20190110,0.19,0.19,0.19,0.19,4773600
SMM,20190110,2.28,2.28,2.28,2.28,20378500
PTT01C1901A,20190110,0.39,0.39,0.39,0.39,22562300
TMB19C1906A,20190110,0.20,0.20,0.20,0.20,50200
SELIC,20190110,2.40,2.40,2.40,2.40,265000
PE,20190110,0.20,0.20,0.20,0.20,101000
KTC27P1905A,20190110,0.41,0.41,0.41,0.41,1800100
PTG08C1906A,20190110,0.62,0.62,0.62,0.62,3555000
UV28C1906A,20190110,0.21,0.21,0.21,0.21,4822300
ITD13C1908A,20190110,0.21,0.21,0.21,0.21,1222400
CPF19C1904A,20190110,0.42,0.42,0.42,0.42,2150100
PTT28C1904A,20190110,0.21,0.21,0.21,0.21,2696500
ADVANC-F,20190110,170.50,170.50,170.50,170.50,100
TISC13C1904A,20190110,0.43,0.43,0.43,0.43,8200200
SCB11P1910A,20190110,0.65,0.65,0.65,0.65,2775000
CPN01C1902A,20190110,0.22,0.22,0.22,0.22,8571700
TRITN-W3,20190110,0.22,0.22,0.22,0.22,1276700
IVL28P1904A,20190110,0.23,0.23,0.23,0.23,4046400
IRPC01P1903B,20190110,0.46,0.46,0.46,0.46,10004100
LIT-W1,20190110,1.43,1.43,1.43,1.43,5100
EA19C1902A,20190110,0.24,0.24,0.24,0.24,2567800
GFPT08C1906A,20190110,0.24,0.24,0.24,0.24,1798900
LPN28C1907A,20190110,0.25,0.25,0.25,0.25,3506400
MEGA19C1906A,20190110,0.25,0.25,0.25,0.25,446400
BBL24P1904A,20190110,0.25,0.25,0.25,0.25,1020300
PTT01C1904A,20190110,0.25,0.25,0.25,0.25,33178800
EA27C1902A,20190110,0.50,0.50,0.50,0.50,1260000
PTG24C1905A,20190110,0.78,0.78,0.78,0.78,3052600
ROBI24C1903A,20190110,0.26,0.26,0.26,0.26,30000
PTG11C1906A,20190110,0.53,0.53,0.53,0.53,1421400
GULF13P1905A,20190110,0.81,0.81,0.81,0.81,12107000
BEM28C1905A,20190110,0.27,0.27,0.27,0.27,17392000
BDMS19C1905A,20190110,0.27,0.27,0.27,0.27,37554300
KTC19P1903A,20190110,0.27,0.27,0.27,0.27,14369200
CENT27C1905A,20190110,0.27,0.27,0.27,0.27,540000
TOA19C1906A,20190110,0.28,0.28,0.28,0.28,615900
KCE,20190110,28.25,28.25,28.25,28.25,4096500
PTL,20190110,14.20,14.20,14.20,14.20,555000
KTB01P1903B,20190110,0.29,0.29,0.29,0.29,25957200
TASC01P1903A,20190110,0.58,0.58,0.58,0.58,1015200
PTG01C1905A,20190110,0.88,0.88,0.88,0.88,6388900
KKC,20190110,1.17,1.17,1.17,1.17,152900
CENT11C1909A,20190110,0.30,0.30,0.30,0.30,1960400
CK01P1902A,20190110,0.30,0.30,0.30,0.30,2330200
CHG01P1903A,20190110,0.92,0.92,0.92,0.92,9653000
KSL,20190110,3.08,3.08,3.08,3.08,1480000
ROBI11C1906A,20190110,0.31,0.31,0.31,0.31,503000
HANA,20190110,31.50,31.50,31.50,31.50,2372800
LPN13C1908A,20190110,0.32,0.32,0.32,0.32,3188200
PTTE28C1905A,20190110,0.32,0.32,0.32,0.32,10247900
QLT,20190110,3.88,3.88,3.88,3.88,10300
IRPC01P1903A,20190110,0.65,0.65,0.65,0.65,6395800
CGD,20190110,1.30,1.30,1.30,1.30,2976100
AMAT13C1905A,20190110,0.33,0.33,0.33,0.33,37612300
IRPC27P1905A,20190110,0.33,0.33,0.33,0.33,1980000
CHOTI,20190110,133.00,133.00,133.00,133.00,700
QH,20190110,2.68,2.68,2.68,2.68,73698000
AAV11C1910A,20190110,0.34,0.34,0.34,0.34,105100
BANP19C1906A,20190110,0.34,0.34,0.34,0.34,1718400
PTTG01C1904A,20190110,0.34,0.34,0.34,0.34,9073700
ADVA41C1905A,20190110,0.69,0.69,0.69,0.69,444000
ESSO01P1906A,20190110,0.69,0.69,0.69,0.69,1578600
TNITY-W1,20190110,0.70,0.70,0.70,0.70,18000
FC,20190110,0.35,0.35,0.35,0.35,152900
FLOYD,20190110,1.76,1.76,1.76,1.76,445300
WHA13C1905A,20190110,0.37,0.37,0.37,0.37,28541200
BDMS01P1905A,20190110,0.37,0.37,0.37,0.37,69529500
ICHI,20190110,2.96,2.96,2.96,2.96,2400000
ROBINS,20190110,65.50,65.50,65.50,65.50,1946400
TFG,20190110,3.04,3.04,3.04,3.04,1770000
TRITN,20190110,0.38,0.38,0.38,0.38,27862900
BCP01P1903A,20190110,0.39,0.39,0.39,0.39,3211200
MTC13C1901A,20190110,0.39,0.39,0.39,0.39,1000
NOBLE,20190110,15.70,15.70,15.70,15.70,1217300
KTB01P1903A,20190110,0.40,0.40,0.40,0.40,10117100
ANAN,20190110,3.22,3.22,3.22,3.22,10584100
PTTG07C1908A,20190110,0.41,0.41,0.41,0.41,50000
TPIP28C1906A,20190110,0.41,0.41,0.41,0.41,3026000
S5001P1901B,20190110,1.25,1.25,1.25,1.25,17645000
SPC,20190110,52.25,52.25,52.25,52.25,100
EGCO01C1903B,20190110,0.42,0.42,0.42,0.42,1684800
GFPT,20190110,12.60,12.60,12.60,12.60,3053900
AP,20190110,6.40,6.40,6.40,6.40,14276600
SHREIT,20190110,8.75,8.75,8.75,8.75,27700
PPPM,20190110,2.62,2.62,2.62,2.62,169500
SPAL01C1907B,20190110,0.44,0.44,0.44,0.44,2302000
PTT19C1906A,20190110,0.44,0.44,0.44,0.44,5223500
ABM,20190110,0.88,0.88,0.88,0.88,316100
SCB-F,20190110,132.00,132.00,132.00,132.00,200
TISC28C1905A,20190110,0.45,0.45,0.45,0.45,3791800
EA07C1903A,20190110,0.45,0.45,0.45,0.45,142000
JSP,20190110,0.45,0.45,0.45,0.45,517100
MINT,20190110,34.75,34.75,34.75,34.75,14510000
PTG,20190110,9.40,9.40,9.40,9.40,25551100
S5001P1901A,20190110,1.45,1.45,1.45,1.45,1676500
OCEAN,20190110,3.88,3.88,3.88,3.88,877900
CPALL,20190110,72.50,72.50,72.50,72.50,47900800
SAMTEL,20190110,7.25,7.25,7.25,7.25,706000
CRANE,20190110,1.98,1.98,1.98,1.98,400
SPAL01C1907A,20190110,0.50,0.50,0.50,0.50,1777500
PDJ-W2,20190110,1.00,1.00,1.00,1.00,118100
BROCK,20190110,2.00,2.00,2.00,2.00,4700
GLOW19C1906A,20190110,1.01,1.01,1.01,1.01,489600
CPF,20190110,25.25,25.25,25.25,25.25,15418700
TOP01C1901A,20190110,0.51,0.51,0.51,0.51,8930200
TTA,20190110,5.15,5.15,5.15,5.15,1197200
TCAP01C1901A,20190110,0.52,0.52,0.52,0.52,768000
SPRC,20190110,10.40,10.40,10.40,10.40,19473400
MAJOR,20190110,21.00,21.00,21.00,21.00,1815700
SIAM,20190110,2.10,2.10,2.10,2.10,449000
TCJ-W2,20190110,0.54,0.54,0.54,0.54,2600
INGRS,20190110,0.54,0.54,0.54,0.54,157700
WHART,20190110,10.80,10.80,10.80,10.80,329100
GTB,20190110,0.55,0.55,0.55,0.55,22500
S5006P1903A,20190110,1.11,1.11,1.11,1.11,1423100
ITEL,20190110,3.32,3.32,3.32,3.32,576200
WHA01C1906A,20190110,0.56,0.56,0.56,0.56,9319800
TU,20190110,17.10,17.10,17.10,17.10,13240400
SAMCO,20190110,1.71,1.71,1.71,1.71,12700
S5001P1902A,20190110,1.15,1.15,1.15,1.15,16103400
TOP28C1906A,20190110,0.59,0.59,0.59,0.59,14478100
PTT16C1912A,20190110,0.59,0.59,0.59,0.59,700
SKY-W1,20190110,11.80,11.80,11.80,11.80,20000
WPH,20190110,2.38,2.38,2.38,2.38,396400
PTTE08C1906A,20190110,0.60,0.60,0.60,0.60,4141100
PTTE19C1906A,20190110,0.60,0.60,0.60,0.60,7239800
TNPC,20190110,1.20,1.20,1.20,1.20,20700
IVL01P1903B,20190110,0.62,0.62,0.62,0.62,4965900
CMAN,20190110,2.48,2.48,2.48,2.48,156800
K,20190110,2.48,2.48,2.48,2.48,1900
SPCG,20190110,18.60,18.60,18.60,18.60,754300
UV,20190110,6.20,6.20,6.20,6.20,2179300
THAI,20190110,12.50,12.50,12.50,12.50,1161800
TPRIME,20190110,12.60,12.60,12.60,12.60,2000
PSTC,20190110,0.63,0.63,0.63,0.63,17267500
TSI,20190110,0.63,0.63,0.63,0.63,1132500
PTTE24P1904A,20190110,0.66,0.66,0.66,0.66,4000
SWC,20190110,19.70,19.70,19.70,19.70,164600
ASIA,20190110,6.65,6.65,6.65,6.65,18000
NCL,20190110,1.38,1.38,1.38,1.38,39600
SCB01C1902A,20190110,0.70,0.70,0.70,0.70,6807300
CFRESH,20190110,4.22,4.22,4.22,4.22,724900
SUN,20190110,2.84,2.84,2.84,2.84,78800
PF,20190110,0.71,0.71,0.71,0.71,2887600
TH,20190110,0.71,0.71,0.71,0.71,225400
BANP42P1903A,20190110,0.72,0.72,0.72,0.72,510500
PTTG24P1905A,20190110,0.73,0.73,0.73,0.73,106000
BLAND,20190110,1.55,1.55,1.55,1.55,10949400
CENTEL,20190110,39.50,39.50,39.50,39.50,1584400
PTTG42P1904A,20190110,0.80,0.80,0.80,0.80,1486400
APCS,20190110,4.78,4.78,4.78,4.78,468200
TITLE,20190110,8.05,8.05,8.05,8.05,1347600
IT,20190110,3.32,3.32,3.32,3.32,122600
LOXLEY,20190110,1.68,1.68,1.68,1.68,608600
ADB,20190110,0.85,0.85,0.85,0.85,93400
M-II,20190110,8.50,8.50,8.50,8.50,200
GLD,20190110,1.73,1.73,1.73,1.73,206000
THRE,20190110,0.86,0.86,0.86,0.86,2500
GLOBAL,20190110,17.80,17.80,17.80,17.80,4812200
EA,20190110,45.00,45.00,45.00,45.00,10884300
S5028C1903C,20190110,0.92,0.92,0.92,0.92,10000
D,20190110,9.15,9.15,9.15,9.15,51700
GIFT,20190110,3.70,3.70,3.70,3.70,8800
TEAM,20190110,0.92,0.92,0.92,0.92,279800
PTTE28P1903A,20190110,0.93,0.93,0.93,0.93,1000
S5001P1904A,20190110,0.94,0.94,0.94,0.94,3619100
WICE,20190110,3.76,3.76,3.76,3.76,507200
BJCHI,20190110,1.88,1.88,1.88,1.88,99600
SGP,20190110,9.40,9.40,9.40,9.40,8908200
IVL01P1903A,20190110,0.95,0.95,0.95,0.95,4488400
PDJ-W4,20190110,0.95,0.95,0.95,0.95,16000
PDJ-W3,20190110,0.95,0.95,0.95,0.95,18400
CPALL-F,20190110,72.50,72.50,72.50,72.50,300
PTT,20190110,48.25,48.25,48.25,48.25,70224300
UREKA,20190110,1.97,1.97,1.97,1.97,374900
NINE,20190110,2.02,2.02,2.02,2.02,678200
WAVE,20190110,2.00,2.00,2.00,2.00,100
CPF-F,20190110,25.00,25.00,25.00,25.00,1000
BGC,20190110,10.20,10.20,10.20,10.20,835500
S5001P1902B,20190110,1.04,1.04,1.04,1.04,100805700
SVI,20190110,5.15,5.15,5.15,5.15,5083200
MC,20190110,10.60,10.60,10.60,10.60,335500
IHL-W1,20190110,4.34,4.34,4.34,4.34,1600
CHEWA,20190110,1.08,1.08,1.08,1.08,1300500
AMATAR,20190110,10.80,10.80,10.80,10.80,7500
GREEN,20190110,1.07,1.07,1.07,1.07,118600
EASTW,20190110,10.70,10.70,10.70,10.70,217500
BLA,20190110,27.25,27.25,27.25,27.25,780100
TMB,20190110,2.18,2.18,2.18,2.18,29162100
PRM,20190110,5.65,5.65,5.65,5.65,1534100
EGATIF,20190110,11.20,11.20,11.20,11.20,4043900
AMA,20190110,4.58,4.58,4.58,4.58,37600
ECF,20190110,2.28,2.28,2.28,2.28,597700
RML,20190110,1.13,1.13,1.13,1.13,507100
TCCC,20190110,28.50,28.50,28.50,28.50,4600
GLANDRT,20190110,11.70,11.70,11.70,11.70,10000
TREIT,20190110,11.60,11.60,11.60,11.60,469800
JMT,20190110,11.60,11.60,11.60,11.60,2894200
2S,20190110,2.32,2.32,2.32,2.32,65800
S5013P1903A,20190110,1.18,1.18,1.18,1.18,278333200
GLOW,20190110,88.25,88.25,88.25,88.25,1469700
TRU,20190110,4.68,4.68,4.68,4.68,156200
SVOA,20190110,1.21,1.21,1.21,1.21,204900
PTTEP,20190110,121.50,121.50,121.50,121.50,8901500
BKKCP,20190110,12.30,12.30,12.30,12.30,25100
CMO,20190110,1.25,1.25,1.25,1.25,36600
EGCO,20190110,248.00,248.00,248.00,248.00,361100
SUSCO,20190110,2.50,2.50,2.50,2.50,574400
TGOLDETF,20190110,3.81,3.81,3.81,3.81,10100
SPG,20190110,13.00,13.00,13.00,13.00,200
PATO,20190110,12.90,12.90,12.90,12.90,54200
LEE,20190110,2.56,2.56,2.56,2.56,11700
BTW,20190110,1.31,1.31,1.31,1.31,40100
MTI,20190110,97.75,97.75,97.75,97.75,100
L&E,20190110,2.60,2.60,2.60,2.60,121400
TOA,20190110,33.25,33.25,33.25,33.25,638900
CBG,20190110,33.00,33.00,33.00,33.00,1582000
A,20190110,6.60,6.60,6.60,6.60,58600
TIC,20190110,32.75,32.75,32.75,32.75,500
SC,20190110,2.66,2.66,2.66,2.66,4111600
EPCO,20190110,2.68,2.68,2.68,2.68,863500
MCS,20190110,6.85,6.85,6.85,6.85,494000
SSSC,20190110,2.72,2.72,2.72,2.72,79400
J,20190110,1.38,1.38,1.38,1.38,300
DELTA,20190110,68.50,68.50,68.50,68.50,1023500
ERW,20190110,6.85,6.85,6.85,6.85,2097100
TSTE,20190110,7.00,7.00,7.00,7.00,5100
MVP,20190110,1.43,1.43,1.43,1.43,262400
TPLAS,20190110,1.48,1.48,1.48,1.48,194200
ALT,20190110,2.96,2.96,2.96,2.96,103900
WHA-W1,20190110,7.30,7.30,7.30,7.30,145300
SF,20190110,7.35,7.35,7.35,7.35,711600
TICON,20190110,14.60,14.60,14.60,14.60,6600
JCK,20190110,1.51,1.51,1.51,1.51,62200
TIPCO,20190110,7.45,7.45,7.45,7.45,31100
IHL,20190110,7.60,7.60,7.60,7.60,115100
BAY,20190110,37.50,37.50,37.50,37.50,96700
VGI,20190110,7.75,7.75,7.75,7.75,4056300
NSI,20190110,76.75,76.75,76.75,76.75,400
PJW,20190110,1.56,1.56,1.56,1.56,868600
BCPG,20190110,16.00,16.00,16.00,16.00,5370900
TISCO,20190110,81.00,81.00,81.00,81.00,4054900
S,20190110,3.28,3.28,3.28,3.28,11348300
SAT,20190110,16.50,16.50,16.50,16.50,584000
SPACK,20190110,1.65,1.65,1.65,1.65,100
NNCL,20190110,1.63,1.63,1.63,1.63,332900
BANPU,20190110,16.20,16.20,16.20,16.20,18761800
LUXF,20190110,8.50,8.50,8.50,8.50,30100
MFC,20190110,16.80,16.80,16.80,16.80,3100
MJD,20190110,3.46,3.46,3.46,3.46,165000
ROH,20190110,43.25,43.25,43.25,43.25,1100
ASN,20190110,3.54,3.54,3.54,3.54,100
CHAYO,20190110,3.68,3.68,3.68,3.68,1268800
FPI,20190110,1.82,1.82,1.82,1.82,29500
AMC,20190110,1.83,1.83,1.83,1.83,33500
SIMAT,20190110,1.88,1.88,1.88,1.88,360300
SPALI,20190110,18.80,18.80,18.80,18.80,2919500
MK,20190110,3.72,3.72,3.72,3.72,376600
TOP01P1904A,20190110,1.91,1.91,1.91,1.91,3672800
PICO,20190110,3.84,3.84,3.84,3.84,700
PTT-F,20190110,48.00,48.00,48.00,48.00,156900
BTS,20190110,9.50,9.50,9.50,9.50,27801300
E1VFVN3001,20190110,19.60,19.60,19.60,19.60,215033
HUMAN,20190110,9.75,9.75,9.75,9.75,507700
WHABT,20190110,9.95,9.95,9.95,9.95,100
