<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KCM,20190107,0.81,0.83,0.81,0.82,160200
KGI,20190107,4.34,4.4,4.34,4.4,1683400
KIAT,20190107,0.48,0.48,0.47,0.47,1260200
KKC,20190107,1.13,1.15,1.13,1.15,23700
KKP,20190107,67,68,66.75,68,2184500
KOOL,20190107,1.16,1.22,1.16,1.17,646300
KSL,20190107,3.06,3.1,3.02,3.08,497500
KTB,20190107,19.8,19.9,19.7,19.8,19160700
KTC,20190107,31,32,31,31.75,13748500
KTIS,20190107,5.4,5.45,5.35,5.45,15400
KWG,20190107,1.85,1.91,1.85,1.91,14100
KWM,20190107,0.88,0.89,0.82,0.84,3638200
KYE,20190107,382,384,382,382,3200
L&E,20190107,2.58,2.64,2.58,2.64,61200
LALIN,20190107,4.78,4.84,4.76,4.8,273600
LANNA,20190107,11.6,12,11.6,11.9,69600
LDC,20190107,0.93,0.94,0.93,0.93,95600
LEE,20190107,2.54,2.56,2.54,2.56,52000
LH,20190107,9.85,10,9.8,10,23575400
LHFG,20190107,1.38,1.39,1.37,1.38,829700
LHHOTEL,20190107,16.2,16.2,16.2,16.2,27400
LHK,20190107,3.84,3.86,3.82,3.82,203700
LHPF,20190107,8.15,8.2,8.15,8.2,60500
LHSC,20190107,16.2,16.2,16.2,16.2,443500
LIT,20190107,5.6,5.8,5.6,5.75,261900
LOXLEY,20190107,1.64,1.74,1.64,1.73,2036200
LPH,20190107,5.6,5.65,5.55,5.6,262000
LPN,20190107,6.45,6.6,6.45,6.5,9154400
LRH,20190107,50,50.25,49,50.25,15600
LST,20190107,3.96,4.04,3.96,4,294000
LTX,20190107,98,99.5,96,97,19600
LUXF,20190107,8.4,8.45,8.4,8.45,11300
M,20190107,74.25,74.75,74,74.25,108100
M-CHAI,20190107,179,179,179,179,500
M-II,20190107,8.3,8.5,8.3,8.5,400
MACO,20190107,1.57,1.59,1.56,1.56,3354700
MAJOR,20190107,20.5,21.4,20.4,21.4,2150700
MAKRO,20190107,33.25,34,33,33.75,647800
MALEE,20190107,8.3,8.75,8.3,8.65,1425300
MANRIN,20190107,32,32.75,31.5,32.75,7100
MATCH,20190107,2.12,2.12,2.1,2.12,291700
MAX,20190107,0.02,0.02,0.01,0.02,4977400
MBAX,20190107,3.98,3.98,3.98,3.98,4000
MBK,20190107,20.2,20.2,20.1,20.1,291800
MBKET,20190107,10.3,10.3,10.2,10.3,26000
MC,20190107,10.8,10.8,10.6,10.7,467600
MCOT,20190107,9.05,9.15,9.05,9.15,46300
MCS,20190107,6.85,7,6.75,6.9,774200
MDX,20190107,3.68,3.76,3.68,3.72,67300
MEGA,20190107,29.5,30,29.5,29.75,849200
META,20190107,1.99,2.02,1.97,2.02,191800
METCO,20190107,207,208,207,208,800
MFC,20190107,16.8,16.9,16.8,16.8,17700
MFEC,20190107,2.82,2.82,2.8,2.82,265300
MGT,20190107,1.72,1.74,1.71,1.74,24500
MIDA,20190107,0.58,0.59,0.58,0.59,1400
MILL,20190107,1.42,1.45,1.41,1.41,1943600
MINT,20190107,34.5,35,34.25,34.75,8387100
MJD,20190107,3.36,3.4,3.3,3.4,68000
MJLF,20190107,12.4,12.4,12.4,12.4,7700
MK,20190107,3.78,3.8,3.72,3.74,1132600
ML,20190107,0.96,0.98,0.95,0.98,33700
MM,20190107,3.78,3.78,3.52,3.62,137700
MNIT,20190107,1.4,1.4,1.4,1.4,2500
MODERN,20190107,3.7,3.72,3.7,3.72,155400
MONO,20190107,1.75,1.75,1.73,1.74,1102700
MOONG,20190107,6.55,6.65,6.5,6.6,968900
MPG,20190107,0.16,0.17,0.16,0.16,270100
