<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BIG,20190102,1.2,1.22,1.2,1.22,1323400
BIZ,20190102,2.22,2.52,2.22,2.22,1071200
BJC,20190102,50.75,51,49,49.5,10155300
BJCHI,20190102,1.86,1.96,1.86,1.89,347300
BKD,20190102,3.1,3.14,3.08,3.08,243300
BKI,20190102,333,333,329,329,5800
BKKCP,20190102,12.4,12.4,12.4,12.4,33000
BLA,20190102,26.25,27,26.25,26.5,800900
BLAND,20190102,1.51,1.54,1.5,1.54,10143900
BM,20190102,2.98,2.98,2.9,2.94,74100
BOFFICE,20190102,12.4,12.6,12.4,12.6,176100
BOL,20190102,2.02,2.04,2,2.04,41500
BPP,20190102,22.3,22.6,22.2,22.2,2042200
BR,20190102,3.86,3.88,3.84,3.88,271700
BROCK,20190102,2.04,2.04,2.02,2.02,60100
BROOK,20190102,0.43,0.43,0.42,0.42,586300
BRR,20190102,5.7,5.75,5.7,5.7,19900
BRRGIF,20190102,9.95,9.95,9.9,9.9,74100
BSBM,20190102,0.94,0.94,0.92,0.93,22400
BSM,20190102,0.53,0.53,0.49,0.51,807700
BTS,20190102,9.55,9.65,9.5,9.5,22941400
BTSGIF,20190102,11.8,11.9,11.7,11.8,1907700
BTW,20190102,1.3,1.31,1.29,1.31,127300
BWG,20190102,1.03,1.04,1.02,1.02,5107300
CBG,20190102,30.75,31.75,30.25,31.25,4853600
CCET,20190102,1.78,1.78,1.74,1.75,126500
CCP,20190102,0.31,0.32,0.31,0.32,772500
CEN,20190102,1.06,1.07,1.05,1.05,221900
CENTEL,20190102,40.25,40.75,39.75,40,1240900
CFRESH,20190102,4.1,4.12,4.08,4.08,14000
CGD,20190102,1.31,1.32,1.3,1.31,429700
CGH,20190102,0.96,0.96,0.95,0.95,66100
CHAYO,20190102,3.42,3.42,3.2,3.2,5517800
CHEWA,20190102,1.09,1.1,1.09,1.1,1172900
CHG,20190102,1.92,1.94,1.82,1.83,74845400
CHO,20190102,1.3,1.33,1.3,1.3,470900
CHOW,20190102,4.04,4.04,4.02,4.02,4300
CI,20190102,1.22,1.23,1.22,1.22,471200
CIG,20190102,0.29,0.3,0.29,0.3,1014100
CIMBT,20190102,0.77,0.78,0.76,0.77,355500
CITY,20190102,2.3,2.32,2.3,2.32,50800
CK,20190102,25,25.5,24.7,24.8,5991500
CKP,20190102,4.96,5.05,4.96,5,17791700
CM,20190102,3.9,3.98,3.9,3.94,22500
CMAN,20190102,2.5,2.56,2.5,2.5,539900
CMC,20190102,1.54,1.57,1.51,1.51,2976800
CMO,20190102,1.24,1.28,1.22,1.22,36100
CMR,20190102,2.34,2.34,2.3,2.32,27900
CNS,20190102,2.22,2.24,2.16,2.2,263000
CNT,20190102,1.93,1.97,1.91,1.92,46300
COL,20190102,22,22.2,21.6,21.9,48000
COLOR,20190102,1.3,1.3,1.26,1.3,72000
COM7,20190102,15.6,15.6,14.5,14.9,10059100
COMAN,20190102,3.16,3.18,3.12,3.16,152700
COTTO,20190102,2,2.06,2,2,191400
CPALL,20190102,69,70.5,68.75,70.25,32877200
CPF,20190102,24.7,25,24.6,24.8,11956500
CPH,20190102,6.3,6.3,6,6.1,42900
CPI,20190102,1.49,1.5,1.48,1.49,11500
CPL,20190102,2.82,2.82,2.82,2.82,10000
CPN,20190102,74.75,75.5,73.5,75,5108200
CPNCG,20190102,15.2,15.3,15.1,15.3,399700
CPNREIT,20190102,25.5,25.5,25,25.5,480100
CPR,20190102,5.2,5.3,5.2,5.2,91000
CPT,20190102,0.65,0.69,0.65,0.68,19512400
CPTGF,20190102,12.7,12.7,12.7,12.7,11700
CRANE,20190102,2.02,2.02,2.02,2.02,600
CRD,20190102,0.97,0.97,0.95,0.97,41800
CRYSTAL,20190102,9.65,9.7,9.65,9.7,112000
CSC,20190102,40.25,40.25,39.75,40,700
CSP,20190102,1.08,1.1,1.06,1.06,12700
CSS,20190102,1.89,1.89,1.86,1.87,405700
CTARAF,20190102,4.72,4.74,4.72,4.74,10300
CTW,20190102,8,8,7.95,7.95,24200
CWT,20190102,2.68,2.7,2.62,2.64,108500
D,20190102,9.05,9.15,9.05,9.05,87500
DCC,20190102,1.97,2,1.94,1.94,5779900
DCON,20190102,0.5,0.51,0.5,0.5,199300
DCORP,20190102,0.51,0.52,0.48,0.49,871700
DDD,20190102,18.7,18.9,18.4,18.9,977400
DELTA,20190102,69.75,69.75,69,69,221600
DEMCO,20190102,2.68,2.86,2.68,2.82,164500
DIF,20190102,14.4,14.5,14.3,14.4,4594600
DIGI,20190102,0.2,0.21,0.19,0.21,430000
DIMET,20190102,0.87,0.87,0.87,0.87,19200
DNA,20190102,0.39,0.42,0.38,0.4,25363500
DOD,20190102,13.1,13.3,13,13.2,1012200
DREIT,20190102,5.05,5.2,5.05,5.2,13300
DRT,20190102,5.35,5.35,5.3,5.35,57400
DTAC,20190102,43.75,44,43,43.5,2580900
DTC,20190102,9.65,9.65,9.5,9.65,42000
DTCI,20190102,27.5,27.5,27.5,27.5,800
EA,20190102,42.75,43.75,42.75,42.75,11894900
EASON,20190102,2.14,2.14,2.1,2.1,221000
EASTW,20190102,10.7,10.8,10.6,10.7,204300
ECF,20190102,2.3,2.3,2.18,2.24,2078700
ECL,20190102,1.55,1.56,1.54,1.55,725700
EE,20190102,0.61,0.64,0.6,0.61,2281900
EFORL,20190102,0.05,0.06,0.05,0.06,2155400
EGATIF,20190102,11.2,11.2,11.1,11.2,1595800
EGCO,20190102,248,249,245,246,892900
EIC,20190102,0.05,0.05,0.04,0.04,1432700
EKH,20190102,5.5,5.6,5.45,5.55,166000
EMC,20190102,0.27,0.28,0.27,0.28,5902100
EPCO,20190102,2.64,2.68,2.64,2.64,174200
EPG,20190102,6.85,7,6.8,6.8,932600
ERW,20190102,6.35,6.55,6.3,6.45,5474500
ERWPF,20190102,5.3,5.35,5.3,5.35,6000
ESSO,20190102,10.2,10.4,10.1,10.1,2669000
ESTAR,20190102,0.51,0.53,0.51,0.53,494400
ETE,20190102,0.89,0.91,0.85,0.85,493000
EVER,20190102,0.47,0.49,0.47,0.48,10303400
F&D,20190102,16.9,17.9,16.9,17.9,500
FANCY,20190102,0.66,0.66,0.65,0.65,80000
FC,20190102,0.38,0.38,0.36,0.37,323300
FLOYD,20190102,1.78,1.78,1.73,1.73,73800
FN,20190102,1.41,1.44,1.4,1.41,177500
FNS,20190102,3.5,3.5,3.48,3.5,53900
FOCUS,20190102,1.6,1.6,1.5,1.55,67200
FORTH,20190102,5.95,5.95,5.9,5.95,13000
FPI,20190102,1.85,1.85,1.85,1.85,12200
FSMART,20190102,5.8,6.05,5.7,5.85,2116200
FSS,20190102,1.84,1.85,1.84,1.85,10100
FTE,20190102,1.95,1.96,1.94,1.96,115300
FUTUREPF,20190102,22.6,22.9,22.6,22.9,8100
FVC,20190102,0.68,0.69,0.68,0.69,38100
GAHREIT,20190102,9.5,9.5,9.5,9.5,100
GBX,20190102,0.54,0.54,0.53,0.54,1500
GC,20190102,5,5.05,5,5.05,13600
GCAP,20190102,2.26,2.28,2.24,2.26,42500
GEL,20190102,0.28,0.29,0.28,0.29,5169000
GENCO,20190102,0.73,0.75,0.73,0.73,264400
GFPT,20190102,12.1,12.5,12.1,12.5,1315900
GGC,20190102,9.85,10.1,9.85,9.9,806300
GIFT,20190102,3.68,3.7,3.62,3.7,15800
GJS,20190102,0.12,0.12,0.12,0.12,1807900
GL,20190102,5.45,5.55,5.35,5.5,98300
GLAND,20190102,3.1,3.1,3,3,1284900
GLANDRT,20190102,11.9,12.1,11.9,11.9,67300
GLOBAL,20190102,19.2,19.9,19.2,19.9,5077500
GLOW,20190102,89.25,89.5,88.75,89,1353200
GOLD,20190102,6.9,7,6.8,6.8,1095900
GPI,20190102,2,2.16,2,2.14,189100
GPSC,20190102,58.5,59,57.75,58.75,1285300
GRAMMY,20190102,6,6,5.6,5.6,12800
GRAND,20190102,0.83,0.84,0.82,0.82,538700
GREEN,20190102,1.04,1.08,1.03,1.04,875700
GTB,20190102,0.6,0.6,0.55,0.58,130100
GULF,20190102,81,84,79.75,83.5,17511400
GUNKUL,20190102,2.82,2.86,2.78,2.84,10787000
GVREIT,20190102,14.3,14.6,14.3,14.6,174600
HANA,20190102,32.5,33,32,32,1171800
HARN,20190102,2.5,2.5,2.48,2.5,61200
HFT,20190102,2.92,2.96,2.92,2.96,12100
HMPRO,20190102,15.1,15.4,15.1,15.1,10351300
HPF,20190102,5.1,5.1,5.1,5.1,7100
HPT,20190102,0.81,0.81,0.78,0.8,288700
HREIT,20190102,6.75,6.75,6.75,6.75,281500
HTC,20190102,13.7,14,13.7,13.9,9400
HTECH,20190102,5.35,5.35,4.9,5.2,1302400
HUMAN,20190102,9.25,9.65,9.25,9.45,676300
HYDRO,20190102,1.22,1.27,1.22,1.24,185100
ICHI,20190102,3,3.04,2.98,2.98,749900
ICN,20190102,1.68,1.7,1.67,1.68,357600
IFS,20190102,3,3.04,3,3.04,226700
IHL,20190102,7.75,7.75,7.15,7.25,948600
III,20190102,5.05,5.05,4.94,4.94,142600
ILINK,20190102,4.06,4.2,4.06,4.14,69400
IMPACT,20190102,19,19.1,19,19.1,38700
INET,20190102,3.06,3.06,3,3,133800
INGRS,20190102,0.57,0.58,0.55,0.57,1069900
INOX,20190102,1,1,0.97,0.97,8200
INTUCH,20190102,48,48.25,47.5,48.25,4088900
IRC,20190102,20.6,20.6,20.5,20.5,7200
IRCP,20190102,0.58,0.58,0.56,0.57,20200
IRPC,20190102,5.75,5.85,5.7,5.7,41202400
IT,20190102,3.22,3.26,3.22,3.26,32300
ITD,20190102,2.12,2.18,2.12,2.18,6742500
ITEL,20190102,2.98,3.12,2.98,3.04,929400
IVL,20190102,54.75,55,54,54,9712700
J,20190102,1.39,1.39,1.36,1.36,1100
JAS,20190102,4.5,4.54,4.46,4.48,10534800
JASIF,20190102,9.95,10,9.9,9.95,5904900
JCK,20190102,1.49,1.5,1.46,1.46,56700
JCKH,20190102,0.53,0.53,0.5,0.52,103600
JCT,20190102,86,86,86,86,100
JKN,20190102,7.65,8,7.65,7.75,1760000
JMART,20190102,4.74,4.92,4.74,4.84,983200
JMT,20190102,11.3,11.3,11.1,11.2,513600
JSP,20190102,0.47,0.47,0.46,0.47,859100
JTS,20190102,1.36,1.37,1.35,1.35,61000
JUBILE,20190102,14.5,14.6,14.3,14.4,206700
JWD,20190102,7.05,7.15,6.95,7,495800
K,20190102,2.48,2.48,2.38,2.46,5500
KAMART,20190102,3.42,3.42,3.38,3.38,1140200
KASET,20190102,1.85,1.85,1.85,1.85,100
KBANK,20190102,185,186,184,185,4410900
KBS,20190102,3.78,3.88,3.76,3.86,638200
KCAR,20190102,10.6,10.6,10.5,10.6,45800
KCE,20190102,26.25,26.75,25.75,26,3129900
KCM,20190102,0.83,0.83,0.8,0.81,91400
KGI,20190102,4.22,4.32,4.22,4.3,1445400
KIAT,20190102,0.47,0.48,0.46,0.46,3739300
KKC,20190102,1.13,1.18,1.13,1.14,6700
KKP,20190102,66.75,67.25,66.5,66.75,2849600
KOOL,20190102,1.23,1.23,1.16,1.16,1220800
KPNPF,20190102,9,9,9,9,100
KSL,20190102,2.98,3.04,2.98,3.02,79100
KTB,20190102,19.3,19.6,19.2,19.3,34560700
KTC,20190102,30.75,31.25,30.5,31.25,5972600
KTIS,20190102,5.65,5.65,5.4,5.55,45300
KWG,20190102,1.8,1.87,1.8,1.87,200
KWM,20190102,0.92,0.95,0.92,0.92,661700
KYE,20190102,390,390,381,386,4700
L&E,20190102,2.52,2.6,2.52,2.58,67300
LALIN,20190102,4.82,4.84,4.8,4.82,164000
LANNA,20190102,11.3,11.6,11.3,11.6,52300
LDC,20190102,0.93,0.94,0.92,0.94,77100
LEE,20190102,2.52,2.52,2.52,2.52,54200
LH,20190102,9.9,10.1,9.9,10,24529800
LHFG,20190102,1.37,1.38,1.36,1.38,1769800
LHHOTEL,20190102,16.2,16.2,16,16.1,174800
LHK,20190102,3.76,3.8,3.74,3.76,94200
LHPF,20190102,8.15,8.2,8.15,8.2,37400
LHSC,20190102,16.2,16.2,16.2,16.2,338100
LIT,20190102,5.7,5.7,5.6,5.6,316200
LOXLEY,20190102,1.65,1.65,1.61,1.61,339800
LPH,20190102,5.65,5.65,5.55,5.6,196700
LPN,20190102,6.3,6.6,6.2,6.6,9029900
LRH,20190102,49,49.25,49,49,38500
LST,20190102,3.88,3.9,3.86,3.9,66200
LTX,20190102,103,103.5,100,101,24900
LUXF,20190102,8.4,8.4,8.4,8.4,4200
M,20190102,74.75,75.5,74.5,74.75,403800
M-CHAI,20190102,180,182,180,182,300
M-II,20190102,8.6,8.95,8.6,8.95,200
M-PAT,20190102,9.8,9.8,9.8,9.8,10000
M-STOR,20190102,7.8,7.8,7.75,7.75,1500
MACO,20190102,1.52,1.55,1.52,1.54,13285600
MAJOR,20190102,20.6,20.6,20.2,20.6,606600
MAKRO,20190102,32,32.75,32,32.25,255300
MALEE,20190102,8,8.1,7.9,7.95,149000
MANRIN,20190102,29.25,29.25,29.25,29.25,100
MATCH,20190102,2.12,2.12,2.1,2.1,124000
MAX,20190102,0.02,0.03,0.01,0.02,34415300
MBAX,20190102,4,4,3.98,3.98,1200
MBK,20190102,20.6,20.7,20.3,20.7,1683900
MBKET,20190102,10.1,10.2,10.1,10.2,20800
MC,20190102,10.9,11.1,10.8,10.9,367600
MCOT,20190102,8.95,9.2,8.95,9.2,246200
MCS,20190102,6.55,6.65,6.5,6.5,242300
MDX,20190102,3.72,3.74,3.66,3.66,68400
MEGA,20190102,28.5,29.5,28.5,29,402300
META,20190102,2.02,2.04,2,2,2192000
METCO,20190102,202,202,202,202,500
MFC,20190102,16.9,16.9,16.7,16.8,2400
MFEC,20190102,2.84,2.84,2.78,2.8,111800
MGT,20190102,1.7,1.75,1.7,1.71,50300
MIDA,20190102,0.58,0.59,0.58,0.59,81600
MILL,20190102,1.46,1.5,1.46,1.48,151600
MINT,20190102,34.75,35,33.75,33.75,8340600
MIT,20190102,4.42,4.48,4.42,4.48,400
MJD,20190102,3.48,3.8,3.26,3.26,359000
MJLF,20190102,12.4,12.4,12.4,12.4,10800
MK,20190102,3.74,3.76,3.74,3.74,223700
ML,20190102,0.96,0.97,0.95,0.97,156700
MM,20190102,3.58,3.64,3.58,3.62,29700
MNIT,20190102,1.41,1.45,1.41,1.45,23700
MNRF,20190102,3.3,3.32,3.3,3.32,300
MODERN,20190102,3.78,3.78,3.7,3.76,37800
MONO,20190102,1.73,1.74,1.7,1.74,1806900
MOONG,20190102,6.5,6.6,6.5,6.6,182500
MPG,20190102,0.16,0.17,0.16,0.17,921800
MSC,20190102,7,7.2,7,7.15,124300
MTC,20190102,49,49.5,48,49.25,6314700
MTI,20190102,97,97.25,97,97,9400
MVP,20190102,1.46,1.5,1.44,1.44,95700
NBC,20190102,0.5,0.5,0.45,0.46,14600
NCH,20190102,0.86,0.86,0.85,0.85,7500
NCL,20190102,1.42,1.43,1.4,1.41,34400
NDR,20190102,1.99,2,1.94,2,19700
NEP,20190102,0.39,0.39,0.33,0.33,349900
NER,20190102,1.71,1.76,1.7,1.71,8722900
NETBAY,20190102,23.8,23.8,23.2,23.3,138600
NEWS,20190102,0.01,0.01,0.01,0.01,52200
NFC,20190102,5.55,5.65,5.55,5.65,1500
NINE,20190102,2.08,2.18,1.98,2.04,8191100
NNCL,20190102,1.63,1.65,1.63,1.63,76300
NOBLE,20190102,14.1,14.1,14,14,932600
NOK,20190102,2.34,2.42,2.34,2.4,117500
NPPG,20190102,1.1,1.1,0.91,0.95,11270800
NSI,20190102,75.5,77.5,75.5,76,1200
NTV,20190102,55,55.25,55,55.25,4900
NUSA,20190102,0.46,0.48,0.45,0.45,6242400
NVD,20190102,2.9,2.98,2.9,2.98,205500
NWR,20190102,0.77,0.78,0.76,0.76,928300
NYT,20190102,4.96,5,4.96,4.98,61400
OCEAN,20190102,3.58,3.7,3.48,3.66,5253000
OGC,20190102,33,33,33,33,1200
OISHI,20190102,72,75.5,72,73.5,4100
ORI,20190102,6.65,6.8,6.6,6.7,5016500
OSP,20190102,24.4,24.4,23.9,24,4525400
OTO,20190102,2.02,2.06,2.02,2.04,320900
PACE,20190102,0.36,0.4,0.36,0.38,9597000
PAF,20190102,0.76,0.77,0.75,0.76,12100
PAP,20190102,3.46,3.46,3.4,3.4,30800
PATO,20190102,13,13,12.8,12.8,40600
PB,20190102,60.75,60.75,60.75,60.75,200
PCSGH,20190102,6.95,7.25,6.95,7,38000
PDG,20190102,2.82,2.84,2.8,2.82,44800
PDI,20190102,11.9,12.2,11.9,12.1,87500
PDJ,20190102,2.12,2.2,2.12,2.18,106200
PE,20190102,0.2,0.2,0.18,0.2,60400
PERM,20190102,1.91,1.91,1.9,1.91,42300
PF,20190102,0.73,0.74,0.71,0.72,12117300
PG,20190102,5.5,5.5,5.5,5.5,100
PHOL,20190102,1.63,1.63,1.56,1.61,28500
PICO,20190102,3.66,3.76,3.66,3.76,1200
PIMO,20190102,4.88,4.9,4.84,4.86,779100
PJW,20190102,1.41,1.46,1.41,1.42,53200
PK,20190102,2.08,2.08,2.08,2.08,7100
PL,20190102,3.18,3.22,3.18,3.22,47700
PLANB,20190102,6.05,6.25,6.05,6.2,5555400
PLANET,20190102,1.45,1.53,1.4,1.53,58300
PLAT,20190102,7.2,7.25,7.15,7.25,111500
PLE,20190102,1.1,1.11,1.09,1.09,897200
PM,20190102,8.45,8.7,8.45,8.55,317500
PMTA,20190102,10.7,10.7,10,10.7,19500
POPF,20190102,13.2,13.2,13.1,13.2,89700
PORT,20190102,4.78,5.75,4.78,5,570800
POST,20190102,3,3,3,3,100
PPF,20190102,11.1,11.2,11.1,11.2,7000
PPM,20190102,1.13,1.13,1.11,1.11,24000
PPP,20190102,2.62,2.7,2.6,2.6,97000
PPPM,20190102,2.74,2.74,2.6,2.6,557000
PPS,20190102,0.69,0.7,0.69,0.7,783300
PR9,20190102,11.2,11.5,11.2,11.2,225700
PRAKIT,20190102,11,11.1,11,11.1,7500
PREB,20190102,9.3,9.5,9.3,9.5,115900
PRECHA,20190102,1.57,1.62,1.56,1.6,66500
PRG,20190102,13,13,13,13,100
PRIN,20190102,1.59,1.59,1.58,1.58,320300
PRINC,20190102,4.64,4.7,4.64,4.7,48700
PRM,20190102,5.15,5.3,5.1,5.2,2597000
PSH,20190102,17.3,17.5,17.1,17.1,735700
PSL,20190102,8.65,9.1,8.5,8.9,9141400
PSTC,20190102,0.6,0.61,0.59,0.61,6316300
PT,20190102,5.7,5.75,5.6,5.7,847500
PTG,20190102,8.55,8.8,8.55,8.7,9674000
PTL,20190102,12.8,13.1,12.8,12.9,112300
PTT,20190102,46.25,46.75,46.25,46.25,30481900
PTTEP,20190102,113,115.5,112.5,112.5,11458900
PTTGC,20190102,71.25,72,70.5,70.75,10811800
PYLON,20190102,7.15,7.2,7.05,7.1,472600
Q-CON,20190102,4.54,4.7,4.5,4.7,12700
QH,20190102,2.62,2.7,2.62,2.68,56427400
QHHR,20190102,8.4,8.4,8.3,8.35,184400
QHOP,20190102,3.24,3.24,3.24,3.24,100
QHPF,20190102,13.2,13.2,13.1,13.2,329500
QLT,20190102,4,4,3.9,4,3300
QTC,20190102,4.98,4.98,4.74,4.94,219600
RAM,20190102,2700,2700,2700,2700,50
RATCH,20190102,50.5,50.75,50,50.75,912800
RCI,20190102,3.88,3.88,3.82,3.88,196500
RCL,20190102,4.74,4.82,4.74,4.8,33500
RICHY,20190102,1.6,1.6,1.55,1.55,310900
RJH,20190102,18.7,19.1,18.6,18.8,968700
RML,20190102,1.11,1.14,1.11,1.13,1928100
ROBINS,20190102,64.5,65.25,64,64.5,1262100
ROH,20190102,49,49,40,40,600
ROJNA,20190102,4.72,4.76,4.7,4.72,733200
RP,20190102,2.4,2.4,2.36,2.38,31400
RPC,20190102,0.4,0.4,0.38,0.4,116900
RPH,20190102,4.84,4.9,4.84,4.9,80000
RS,20190102,14.8,15.1,14.7,14.9,2692700
RSP,20190102,3.7,3.72,3.7,3.7,22500
RWI,20190102,1.74,1.74,1.69,1.72,473600
S,20190102,3.12,3.14,3.06,3.08,1397700
S11,20190102,6.95,7.2,6.9,7.05,150300
SABINA,20190102,29.25,29.25,28.5,28.75,10100
SALEE,20190102,1.02,1.02,1.01,1.01,31600
SAM,20190102,0.46,0.46,0.45,0.46,210900
SAMART,20190102,6.3,6.45,6.25,6.45,518100
SAMCO,20190102,1.69,1.71,1.69,1.7,54700
SAMTEL,20190102,7.4,7.45,7.25,7.25,1900
SANKO,20190102,1.12,1.12,1.1,1.1,43500
SAPPE,20190102,13.6,14.2,13.6,14,183100
SAT,20190102,15.3,15.4,14.6,14.6,1571600
SAUCE,20190102,22.6,22.6,22.6,22.6,1000
SAWAD,20190102,45,46.25,44.75,44.75,5223500
SAWANG,20190102,11,11,11,11,100
SC,20190102,2.7,2.76,2.68,2.7,915000
SCB,20190102,134.5,136,133.5,134.5,3669600
SCC,20190102,436,440,436,436,1252800
SCCC,20190102,206,212,206,210,126600
SCG,20190102,4.38,4.42,4.38,4.42,3100
SCI,20190102,2.5,2.5,2.44,2.44,25000
SCN,20190102,4.2,4.22,4.1,4.2,1154000
SCP,20190102,8.45,8.55,8.45,8.5,131900
SDC,20190102,0.32,0.32,0.31,0.31,2974900
SE,20190102,1.9,1.9,1.88,1.88,2900
SE-ED,20190102,3.3,3.3,3.08,3.1,1600
SEAFCO,20190102,9.2,9.3,9.1,9.25,2174700
SEAOIL,20190102,3.42,3.48,3.34,3.38,437700
SELIC,20190102,2.52,2.54,2.5,2.5,227900
SENA,20190102,3.28,3.32,3.28,3.3,594700
SF,20190102,7.35,7.45,7.35,7.4,517300
SGF,20190102,1.25,1.25,1.23,1.23,1024900
SGP,20190102,8.5,8.65,8.4,8.55,2786100
SHANG,20190102,75,76.5,74.5,76.25,3300
SHREIT,20190102,9,9.1,8.85,9,51300
SIAM,20190102,2.08,2.12,2.08,2.1,39600
SIMAT,20190102,1.92,1.94,1.92,1.93,20600
SINGER,20190102,6.5,6.5,6.5,6.5,11600
SIRI,20190102,1.18,1.21,1.18,1.2,44325600
SIS,20190102,9.8,9.95,9.6,9.8,136800
SISB,20190102,4.28,4.28,4.2,4.26,1040200
SITHAI,20190102,1.12,1.14,1.1,1.1,837000
SKE,20190102,1.02,1.02,0.99,1,570300
SKN,20190102,3.68,3.72,3.5,3.7,329200
SKR,20190102,3.98,4,3.94,4,325400
SKY,20190102,12.5,12.6,12.5,12.5,247300
SLP,20190102,0.81,0.82,0.8,0.8,10200
SMART,20190102,0.95,0.95,0.92,0.93,340500
SMIT,20190102,5.9,6,5.85,5.9,130400
SMK,20190102,39.5,39.5,39.5,39.5,1100
