<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SFP,20190110,0.00,0.00,0.00,0.00,0
SNP,20190110,0.00,0.00,0.00,0.00,0
SORKON,20190110,0.00,0.00,0.00,0.00,0
SSC,20190110,0.00,0.00,0.00,0.00,0
SSF,20190110,0.00,0.00,0.00,0.00,0
SST,20190110,0.00,0.00,0.00,0.00,0
TC,20190110,0.00,0.00,0.00,0.00,0
TFG,20190110,0.00,0.00,0.00,0.00,0
TFMAMA,20190110,0.00,0.00,0.00,0.00,0
TIPCO,20190110,0.00,0.00,0.00,0.00,0
TKN,20190110,0.00,0.00,0.00,0.00,0
TU,20190110,0.00,0.00,0.00,0.00,0
TVO,20190110,0.00,0.00,0.00,0.00,0
AFC,20190110,135.00,137.00,135.00,137.00,700
BTNC,20190110,0.61,0.63,0.59,0.60,5525300
CPH,20190110,12.60,13.10,12.60,12.90,3053900
CPL,20190110,2.56,2.58,2.56,2.58,11700
DIGI,20190110,1.82,1.82,1.79,1.79,9698400
ICC,20190110,2.72,2.72,2.60,2.68,169500
LTX,20190110,14.20,14.30,13.90,14.00,4603700
NC,20190110,1.57,1.58,1.56,1.56,1
PAF,20190110,8.00,8.00,7.90,7.95,56400
PDJ,20190110,4.46,4.46,4.46,4.46,1300
PG,20190110,5.35,5.35,5.25,5.25,5
SABINA,20190110,0.42,0.42,0.41,0.41,30500
SAWANG,20190110,0.00,0.00,0.00,0.00,0
SUC,20190110,0.00,0.00,0.00,0.00,0
TNL,20190110,0.00,0.00,0.00,0.00,0
TPCORP,20190110,0.00,0.00,0.00,0.00,0
TR,20190110,0.00,0.00,0.00,0.00,0
TTI,20190110,0.00,0.00,0.00,0.00,0
TTL,20190110,0.00,0.00,0.00,0.00,0
TTTM,20190110,0.00,0.00,0.00,0.00,0
UPF,20190110,0.00,0.00,0.00,0.00,0
UT,20190110,0.00,0.00,0.00,0.00,0
WACOAL,20190110,0.00,0.00,0.00,0.00,0
ACC,20190110,135.00,137.00,135.00,137.00,700
AJA,20190110,0.61,0.63,0.59,0.60,5525300
DTCI,20190110,12.60,13.10,12.60,12.90,3053900
FANCY,20190110,2.56,2.58,2.56,2.58,11700
KYE,20190110,1.82,1.82,1.79,1.79,9698400
L&E,20190110,2.72,2.72,2.60,2.68,169500
MODERN,20190110,14.20,14.30,13.90,14.00,4603700
OGC,20190110,1.57,1.58,1.56,1.56,1
ROCK,20190110,8.00,8.00,7.90,7.95,56400
SIAM,20190110,4.46,4.46,4.46,4.46,1300
TSR,20190110,5.35,5.35,5.25,5.25,5
APCO,20190110,135.00,137.00,135.00,137.00,700
DDD,20190110,0.61,0.63,0.59,0.60,5525300
JCT,20190110,12.60,13.10,12.60,12.90,3053900
OCC,20190110,2.56,2.58,2.56,2.58,11700
S & J,20190110,1.82,1.82,1.79,1.79,9698400
STHAI,20190110,2.72,2.72,2.60,2.68,169500
TNR,20190110,14.20,14.30,13.90,14.00,4603700
TOG,20190110,1.57,1.58,1.56,1.56,1
BAY,20190110,135.00,137.00,135.00,137.00,700
BBL,20190110,0.61,0.63,0.59,0.60,5525300
CIMBT,20190110,12.60,13.10,12.60,12.90,3053900
KBANK,20190110,2.56,2.58,2.56,2.58,11700
KKP,20190110,1.82,1.82,1.79,1.79,9698400
KTB,20190110,2.72,2.72,2.60,2.68,169500
LHFG,20190110,14.20,14.30,13.90,14.00,4603700
SCB,20190110,1.57,1.58,1.56,1.56,1
TCAP,20190110,8.00,8.00,7.90,7.95,56400
TISCO,20190110,4.46,4.46,4.46,4.46,1300
TMB,20190110,5.35,5.35,5.25,5.25,5
AEC,20190110,135.00,137.00,135.00,137.00,700
AEONTS,20190110,0.61,0.63,0.59,0.60,5525300
AMANAH,20190110,12.60,13.10,12.60,12.90,3053900
ASAP,20190110,2.56,2.58,2.56,2.58,11700
ASK,20190110,1.82,1.82,1.79,1.79,9698400
ASP,20190110,2.72,2.72,2.60,2.68,169500
BFIT,20190110,14.20,14.30,13.90,14.00,4603700
CGH,20190110,1.57,1.58,1.56,1.56,1
CNS,20190110,8.00,8.00,7.90,7.95,56400
ECL,20190110,4.46,4.46,4.46,4.46,1300
FNS,20190110,5.35,5.35,5.25,5.25,5
FSS,20190110,0.42,0.42,0.41,0.41,30500
GBX,20190110,0.00,0.00,0.00,0.00,0
GL,20190110,0.00,0.00,0.00,0.00,0
IFS,20190110,0.00,0.00,0.00,0.00,0
JMT,20190110,0.00,0.00,0.00,0.00,0
KCAR,20190110,0.00,0.00,0.00,0.00,0
KGI,20190110,0.00,0.00,0.00,0.00,0
KTC,20190110,0.00,0.00,0.00,0.00,0
MBKET,20190110,0.00,0.00,0.00,0.00,0
MFC,20190110,0.00,0.00,0.00,0.00,0
ML,20190110,0.00,0.00,0.00,0.00,0
MTC,20190110,0.00,0.00,0.00,0.00,0
PE,20190110,0.00,0.00,0.00,0.00,0
PL,20190110,0.00,0.00,0.00,0.00,0
S11,20190110,0.00,0.00,0.00,0.00,0
SAWAD,20190110,0.00,0.00,0.00,0.00,0
THANI,20190110,0.00,0.00,0.00,0.00,0
TK,20190110,0.00,0.00,0.00,0.00,0
TNITY,20190110,0.00,0.00,0.00,0.00,0
UOBKH,20190110,0.00,0.00,0.00,0.00,0
ZMICO,20190110,0.00,0.00,0.00,0.00,0
AYUD,20190110,135.00,137.00,135.00,137.00,700
BKI,20190110,0.61,0.63,0.59,0.60,5525300
BLA,20190110,12.60,13.10,12.60,12.90,3053900
BUI,20190110,2.56,2.58,2.56,2.58,11700
CHARAN,20190110,1.82,1.82,1.79,1.79,9698400
INSURE,20190110,2.72,2.72,2.60,2.68,169500
MTI,20190110,14.20,14.30,13.90,14.00,4603700
NKI,20190110,1.57,1.58,1.56,1.56,1
NSI,20190110,8.00,8.00,7.90,7.95,56400
SMK,20190110,4.46,4.46,4.46,4.46,1300
THRE,20190110,5.35,5.35,5.25,5.25,5
THREL,20190110,0.42,0.42,0.41,0.41,30500
TIC,20190110,0.00,0.00,0.00,0.00,0
TIP,20190110,0.00,0.00,0.00,0.00,0
TQM,20190110,0.00,0.00,0.00,0.00,0
TSI,20190110,0.00,0.00,0.00,0.00,0
TVI,20190110,0.00,0.00,0.00,0.00,0
AH,20190110,135.00,137.00,135.00,137.00,700
APCS,20190110,0.61,0.63,0.59,0.60,5525300
BAT-3K,20190110,12.60,13.10,12.60,12.90,3053900
CWT,20190110,2.56,2.58,2.56,2.58,11700
EASON,20190110,1.82,1.82,1.79,1.79,9698400
GYT,20190110,2.72,2.72,2.60,2.68,169500
HFT,20190110,14.20,14.30,13.90,14.00,4603700
IHL,20190110,1.57,1.58,1.56,1.56,1
INGRS,20190110,8.00,8.00,7.90,7.95,56400
IRC,20190110,4.46,4.46,4.46,4.46,1300
PCSGH,20190110,5.35,5.35,5.25,5.25,5
SAT,20190110,0.42,0.42,0.41,0.41,30500
SPG,20190110,0.00,0.00,0.00,0.00,0
STANLY,20190110,0.00,0.00,0.00,0.00,0
TKT,20190110,0.00,0.00,0.00,0.00,0
TNPC,20190110,0.00,0.00,0.00,0.00,0
TRU,20190110,0.00,0.00,0.00,0.00,0
TSC,20190110,0.00,0.00,0.00,0.00,0
YNP,20190110,0.00,0.00,0.00,0.00,0
ALLA,20190110,135.00,137.00,135.00,137.00,700
ASEFA,20190110,0.61,0.63,0.59,0.60,5525300
CPT,20190110,12.60,13.10,12.60,12.90,3053900
CRANE,20190110,2.56,2.58,2.56,2.58,11700
CTW,20190110,1.82,1.82,1.79,1.79,9698400
FMT,20190110,2.72,2.72,2.60,2.68,169500
HTECH,20190110,14.20,14.30,13.90,14.00,4603700
KKC,20190110,1.57,1.58,1.56,1.56,1
PK,20190110,8.00,8.00,7.90,7.95,56400
SNC,20190110,4.46,4.46,4.46,4.46,1300
TCJ,20190110,5.35,5.35,5.25,5.25,5
VARO,20190110,0.42,0.42,0.41,0.41,30500
UTP,20190110,135.00,137.00,135.00,137.00,700
BCT,20190110,135.00,137.00,135.00,137.00,700
CMAN,20190110,0.61,0.63,0.59,0.60,5525300
GC,20190110,12.60,13.10,12.60,12.90,3053900
GGC,20190110,2.56,2.58,2.56,2.58,11700
GIFT,20190110,1.82,1.82,1.79,1.79,9698400
IVL,20190110,2.72,2.72,2.60,2.68,169500
NFC,20190110,14.20,14.30,13.90,14.00,4603700
PATO,20190110,1.57,1.58,1.56,1.56,1
PMTA,20190110,8.00,8.00,7.90,7.95,56400
PTTGC,20190110,4.46,4.46,4.46,4.46,1300
SUTHA,20190110,5.35,5.35,5.25,5.25,5
TCCC,20190110,0.42,0.42,0.41,0.41,30500
TPA,20190110,0.00,0.00,0.00,0.00,0
UP,20190110,0.00,0.00,0.00,0.00,0
VNT,20190110,0.00,0.00,0.00,0.00,0
WG,20190110,0.00,0.00,0.00,0.00,0
YCI,20190110,0.00,0.00,0.00,0.00,0
AJ,20190110,135.00,137.00,135.00,137.00,700
ALUCON,20190110,0.61,0.63,0.59,0.60,5525300
BGC,20190110,12.60,13.10,12.60,12.90,3053900
CSC,20190110,2.56,2.58,2.56,2.58,11700
NEP,20190110,1.82,1.82,1.79,1.79,9698400
NPPG,20190110,2.72,2.72,2.60,2.68,169500
PTL,20190110,14.20,14.30,13.90,14.00,4603700
SITHAI,20190110,1.57,1.58,1.56,1.56,1
SLP,20190110,8.00,8.00,7.90,7.95,56400
SMPC,20190110,4.46,4.46,4.46,4.46,1300
SPACK,20190110,5.35,5.35,5.25,5.25,5
TCOAT,20190110,0.42,0.42,0.41,0.41,30500
TFI,20190110,0.00,0.00,0.00,0.00,0
THIP,20190110,0.00,0.00,0.00,0.00,0
TMD,20190110,0.00,0.00,0.00,0.00,0
TOPP,20190110,0.00,0.00,0.00,0.00,0
TPBI,20190110,0.00,0.00,0.00,0.00,0
TPP,20190110,0.00,0.00,0.00,0.00,0
AMC,20190110,135.00,137.00,135.00,137.00,700
BSBM,20190110,0.61,0.63,0.59,0.60,5525300
CEN,20190110,12.60,13.10,12.60,12.90,3053900
CITY,20190110,2.56,2.58,2.56,2.58,11700
CSP,20190110,1.82,1.82,1.79,1.79,9698400
GJS,20190110,2.72,2.72,2.60,2.68,169500
GSTEL,20190110,14.20,14.30,13.90,14.00,4603700
INOX,20190110,1.57,1.58,1.56,1.56,1
LHK,20190110,8.00,8.00,7.90,7.95,56400
MAX,20190110,4.46,4.46,4.46,4.46,1300
MCS,20190110,5.35,5.35,5.25,5.25,5
MILL,20190110,0.42,0.42,0.41,0.41,30500
PAP,20190110,0.00,0.00,0.00,0.00,0
PERM,20190110,0.00,0.00,0.00,0.00,0
RICH,20190110,0.00,0.00,0.00,0.00,0
SAM,20190110,0.00,0.00,0.00,0.00,0
SMIT,20190110,0.00,0.00,0.00,0.00,0
SSI,20190110,0.00,0.00,0.00,0.00,0
SSSC,20190110,0.00,0.00,0.00,0.00,0
TGPRO,20190110,0.00,0.00,0.00,0.00,0
THE,20190110,0.00,0.00,0.00,0.00,0
TIW,20190110,0.00,0.00,0.00,0.00,0
TMT,20190110,0.00,0.00,0.00,0.00,0
TSTH,20190110,0.00,0.00,0.00,0.00,0
TWP,20190110,0.00,0.00,0.00,0.00,0
TYCN,20190110,0.00,0.00,0.00,0.00,0
CCP,20190110,135.00,137.00,135.00,137.00,700
COTTO,20190110,0.61,0.63,0.59,0.60,5525300
DCC,20190110,12.60,13.10,12.60,12.90,3053900
DCON,20190110,2.56,2.58,2.56,2.58,11700
DRT,20190110,1.82,1.82,1.79,1.79,9698400
EPG,20190110,2.72,2.72,2.60,2.68,169500
GEL,20190110,14.20,14.30,13.90,14.00,4603700
PPP,20190110,1.57,1.58,1.56,1.56,1
Q-CON,20190110,8.00,8.00,7.90,7.95,56400
RCI,20190110,4.46,4.46,4.46,4.46,1300
SCC,20190110,5.35,5.35,5.25,5.25,5
SCCC,20190110,0.42,0.42,0.41,0.41,30500
SCP,20190110,0.00,0.00,0.00,0.00,0
SKN,20190110,0.00,0.00,0.00,0.00,0
TASCO,20190110,0.00,0.00,0.00,0.00,0
TCMC,20190110,0.00,0.00,0.00,0.00,0
TOA,20190110,0.00,0.00,0.00,0.00,0
TPIPL,20190110,0.00,0.00,0.00,0.00,0
UMI,20190110,0.00,0.00,0.00,0.00,0
VNG,20190110,0.00,0.00,0.00,0.00,0
WIIK,20190110,0.00,0.00,0.00,0.00,0
A,20190110,135.00,137.00,135.00,137.00,700
AMATA,20190110,0.61,0.63,0.59,0.60,5525300
AMATAV,20190110,12.60,13.10,12.60,12.90,3053900
ANAN,20190110,2.56,2.58,2.56,2.58,11700
AP,20190110,1.82,1.82,1.79,1.79,9698400
APEX,20190110,2.72,2.72,2.60,2.68,169500
AQ,20190110,14.20,14.30,13.90,14.00,4603700
BLAND,20190110,1.57,1.58,1.56,1.56,1
BROCK,20190110,8.00,8.00,7.90,7.95,56400
CGD,20190110,4.46,4.46,4.46,4.46,1300
CI,20190110,5.35,5.35,5.25,5.25,5
CPN,20190110,0.42,0.42,0.41,0.41,30500
ESTAR,20190110,0.00,0.00,0.00,0.00,0
EVER,20190110,0.00,0.00,0.00,0.00,0
GLAND,20190110,0.00,0.00,0.00,0.00,0
GOLD,20190110,0.00,0.00,0.00,0.00,0
GREEN,20190110,0.00,0.00,0.00,0.00,0
J,20190110,0.00,0.00,0.00,0.00,0
JCK,20190110,0.00,0.00,0.00,0.00,0
KC,20190110,0.00,0.00,0.00,0.00,0
KWG,20190110,0.00,0.00,0.00,0.00,0
LALIN,20190110,0.00,0.00,0.00,0.00,0
LH,20190110,0.00,0.00,0.00,0.00,0
LPN,20190110,0.00,0.00,0.00,0.00,0
MBK,20190110,0.00,0.00,0.00,0.00,0
MJD,20190110,0.00,0.00,0.00,0.00,0
MK,20190110,0.00,0.00,0.00,0.00,0
NCH,20190110,0.00,0.00,0.00,0.00,0
NNCL,20190110,0.00,0.00,0.00,0.00,0
NOBLE,20190110,0.00,0.00,0.00,0.00,0
NUSA,20190110,0.00,0.00,0.00,0.00,0
NVD,20190110,0.00,0.00,0.00,0.00,0
ORI,20190110,0.00,0.00,0.00,0.00,0
PACE,20190110,0.00,0.00,0.00,0.00,0
PF,20190110,0.00,0.00,0.00,0.00,0
PLAT,20190110,0.00,0.00,0.00,0.00,0
POLAR,20190110,0.00,0.00,0.00,0.00,0
PRECHA,20190110,0.00,0.00,0.00,0.00,0
PRIN,20190110,0.00,0.00,0.00,0.00,0
PRINC,20190110,0.00,0.00,0.00,0.00,0
PSH,20190110,0.00,0.00,0.00,0.00,0
QH,20190110,0.00,0.00,0.00,0.00,0
RICHY,20190110,0.00,0.00,0.00,0.00,0
RML,20190110,0.00,0.00,0.00,0.00,0
ROJNA,20190110,0.00,0.00,0.00,0.00,0
S,20190110,0.00,0.00,0.00,0.00,0
SAMCO,20190110,0.00,0.00,0.00,0.00,0
SC,20190110,0.00,0.00,0.00,0.00,0
SENA,20190110,0.00,0.00,0.00,0.00,0
SF,20190110,0.00,0.00,0.00,0.00,0
SIRI,20190110,0.00,0.00,0.00,0.00,0
SPALI,20190110,0.00,0.00,0.00,0.00,0
TICON,20190110,0.00,0.00,0.00,0.00,0
U,20190110,0.00,0.00,0.00,0.00,0
UV,20190110,0.00,0.00,0.00,0.00,0
WHA,20190110,0.00,0.00,0.00,0.00,0
WIN,20190110,0.00,0.00,0.00,0.00,0
AIMIRT,20190110,135.00,137.00,135.00,137.00,700
AMATAR,20190110,0.61,0.63,0.59,0.60,5525300
B-WORK,20190110,12.60,13.10,12.60,12.90,3053900
BKKCP,20190110,2.56,2.58,2.56,2.58,11700
BOFFICE,20190110,1.82,1.82,1.79,1.79,9698400
CPNCG,20190110,2.72,2.72,2.60,2.68,169500
CPNREIT,20190110,14.20,14.30,13.90,14.00,4603700
CPTGF,20190110,1.57,1.58,1.56,1.56,1
CRYSTAL,20190110,8.00,8.00,7.90,7.95,56400
CTARAF,20190110,4.46,4.46,4.46,4.46,1300
DREIT,20190110,5.35,5.35,5.25,5.25,5
ERWPF,20190110,0.42,0.42,0.41,0.41,30500
FUTUREPF,20190110,0.00,0.00,0.00,0.00,0
GAHREIT,20190110,0.00,0.00,0.00,0.00,0
GLANDRT,20190110,0.00,0.00,0.00,0.00,0
GOLDPF,20190110,0.00,0.00,0.00,0.00,0
GVREIT,20190110,0.00,0.00,0.00,0.00,0
HPF,20190110,0.00,0.00,0.00,0.00,0
HREIT,20190110,0.00,0.00,0.00,0.00,0
IMPACT,20190110,0.00,0.00,0.00,0.00,0
KPNPF,20190110,0.00,0.00,0.00,0.00,0
LHHOTEL,20190110,0.00,0.00,0.00,0.00,0
LHPF,20190110,0.00,0.00,0.00,0.00,0
LHSC,20190110,0.00,0.00,0.00,0.00,0
LUXF,20190110,0.00,0.00,0.00,0.00,0
M-II,20190110,0.00,0.00,0.00,0.00,0
M-PAT,20190110,0.00,0.00,0.00,0.00,0
M-STOR,20190110,0.00,0.00,0.00,0.00,0
MIPF,20190110,0.00,0.00,0.00,0.00,0
MIT,20190110,0.00,0.00,0.00,0.00,0
MJLF,20190110,0.00,0.00,0.00,0.00,0
MNIT,20190110,0.00,0.00,0.00,0.00,0
MNIT2,20190110,0.00,0.00,0.00,0.00,0
MNRF,20190110,0.00,0.00,0.00,0.00,0
MONTRI,20190110,0.00,0.00,0.00,0.00,0
POPF,20190110,0.00,0.00,0.00,0.00,0
PPF,20190110,0.00,0.00,0.00,0.00,0
QHHR,20190110,0.00,0.00,0.00,0.00,0
QHOP,20190110,0.00,0.00,0.00,0.00,0
QHPF,20190110,0.00,0.00,0.00,0.00,0
SBPF,20190110,0.00,0.00,0.00,0.00,0
SHREIT,20190110,0.00,0.00,0.00,0.00,0
SIRIP,20190110,0.00,0.00,0.00,0.00,0
SPF,20190110,0.00,0.00,0.00,0.00,0
SRIPANWA,20190110,0.00,0.00,0.00,0.00,0
SSPF,20190110,0.00,0.00,0.00,0.00,0
SSTPF,20190110,0.00,0.00,0.00,0.00,0
SSTRT,20190110,0.00,0.00,0.00,0.00,0
TIF1,20190110,0.00,0.00,0.00,0.00,0
TLGF,20190110,0.00,0.00,0.00,0.00,0
TLHPF,20190110,0.00,0.00,0.00,0.00,0
TNPF,20190110,0.00,0.00,0.00,0.00,0
TPRIME,20190110,0.00,0.00,0.00,0.00,0
TREIT,20190110,0.00,0.00,0.00,0.00,0
TTLPF,20190110,0.00,0.00,0.00,0.00,0
TU-PF,20190110,0.00,0.00,0.00,0.00,0
URBNPF,20190110,0.00,0.00,0.00,0.00,0
WHABT,20190110,0.00,0.00,0.00,0.00,0
WHART,20190110,0.00,0.00,0.00,0.00,0
BJCHI,20190110,135.00,137.00,135.00,137.00,700
CK,20190110,0.61,0.63,0.59,0.60,5525300
CNT,20190110,12.60,13.10,12.60,12.90,3053900
EMC,20190110,2.56,2.58,2.56,2.58,11700
ITD,20190110,1.82,1.82,1.79,1.79,9698400
NWR,20190110,2.72,2.72,2.60,2.68,169500
PAE,20190110,14.20,14.30,13.90,14.00,4603700
PLE,20190110,1.57,1.58,1.56,1.56,1
PREB,20190110,8.00,8.00,7.90,7.95,56400
PYLON,20190110,4.46,4.46,4.46,4.46,1300
SEAFCO,20190110,5.35,5.35,5.25,5.25,5
SQ,20190110,0.42,0.42,0.41,0.41,30500
SRICHA,20190110,0.00,0.00,0.00,0.00,0
STEC,20190110,0.00,0.00,0.00,0.00,0
STPI,20190110,0.00,0.00,0.00,0.00,0
SYNTEC,20190110,0.00,0.00,0.00,0.00,0
TPOLY,20190110,0.00,0.00,0.00,0.00,0
TRC,20190110,0.00,0.00,0.00,0.00,0
TTCL,20190110,0.00,0.00,0.00,0.00,0
UNIQ,20190110,0.00,0.00,0.00,0.00,0
ABPIF,20190110,135.00,137.00,135.00,137.00,700
AI,20190110,0.61,0.63,0.59,0.60,5525300
AKR,20190110,12.60,13.10,12.60,12.90,3053900
BAFS,20190110,2.56,2.58,2.56,2.58,11700
BANPU,20190110,1.82,1.82,1.79,1.79,9698400
BCP,20190110,2.72,2.72,2.60,2.68,169500
BCPG,20190110,14.20,14.30,13.90,14.00,4603700
BGRIM,20190110,1.57,1.58,1.56,1.56,1
BPP,20190110,8.00,8.00,7.90,7.95,56400
BRRGIF,20190110,4.46,4.46,4.46,4.46,1300
CKP,20190110,5.35,5.35,5.25,5.25,5
DEMCO,20190110,0.42,0.42,0.41,0.41,30500
EA,20190110,0.00,0.00,0.00,0.00,0
EARTH,20190110,0.00,0.00,0.00,0.00,0
EASTW,20190110,0.00,0.00,0.00,0.00,0
EGATIF,20190110,0.00,0.00,0.00,0.00,0
EGCO,20190110,0.00,0.00,0.00,0.00,0
ESSO,20190110,0.00,0.00,0.00,0.00,0
GLOW,20190110,0.00,0.00,0.00,0.00,0
GPSC,20190110,0.00,0.00,0.00,0.00,0
GULF,20190110,0.00,0.00,0.00,0.00,0
GUNKUL,20190110,0.00,0.00,0.00,0.00,0
IEC,20190110,0.00,0.00,0.00,0.00,0
IFEC,20190110,0.00,0.00,0.00,0.00,0
IRPC,20190110,0.00,0.00,0.00,0.00,0
LANNA,20190110,0.00,0.00,0.00,0.00,0
MDX,20190110,0.00,0.00,0.00,0.00,0
PTG,20190110,0.00,0.00,0.00,0.00,0
PTT,20190110,0.00,0.00,0.00,0.00,0
PTTEP,20190110,0.00,0.00,0.00,0.00,0
RATCH,20190110,0.00,0.00,0.00,0.00,0
RPC,20190110,0.00,0.00,0.00,0.00,0
SCG,20190110,0.00,0.00,0.00,0.00,0
SCI,20190110,0.00,0.00,0.00,0.00,0
SCN,20190110,0.00,0.00,0.00,0.00,0
SGP,20190110,0.00,0.00,0.00,0.00,0
SKE,20190110,0.00,0.00,0.00,0.00,0
SOLAR,20190110,0.00,0.00,0.00,0.00,0
SPCG,20190110,0.00,0.00,0.00,0.00,0
SPRC,20190110,0.00,0.00,0.00,0.00,0
SUPER,20190110,0.00,0.00,0.00,0.00,0
SUSCO,20190110,0.00,0.00,0.00,0.00,0
TAE,20190110,0.00,0.00,0.00,0.00,0
TCC,20190110,0.00,0.00,0.00,0.00,0
TOP,20190110,0.00,0.00,0.00,0.00,0
TPIPP,20190110,0.00,0.00,0.00,0.00,0
TTW,20190110,0.00,0.00,0.00,0.00,0
WHAUP,20190110,0.00,0.00,0.00,0.00,0
WP,20190110,0.00,0.00,0.00,0.00,0
PDI,20190110,135.00,137.00,135.00,137.00,700
THL,20190110,0.61,0.63,0.59,0.60,5525300
BEAUTY,20190110,135.00,137.00,135.00,137.00,700
BIG,20190110,0.61,0.63,0.59,0.60,5525300
BJC,20190110,12.60,13.10,12.60,12.90,3053900
COL,20190110,2.56,2.58,2.56,2.58,11700
CPALL,20190110,1.82,1.82,1.79,1.79,9698400
CSS,20190110,2.72,2.72,2.60,2.68,169500
FN,20190110,14.20,14.30,13.90,14.00,4603700
FTE,20190110,1.57,1.58,1.56,1.56,1
GLOBAL,20190110,8.00,8.00,7.90,7.95,56400
HMPRO,20190110,4.46,4.46,4.46,4.46,1300
IT,20190110,5.35,5.35,5.25,5.25,5
KAMART,20190110,0.42,0.42,0.41,0.41,30500
LOXLEY,20190110,0.00,0.00,0.00,0.00,0
MAKRO,20190110,0.00,0.00,0.00,0.00,0
MC,20190110,0.00,0.00,0.00,0.00,0
MEGA,20190110,0.00,0.00,0.00,0.00,0
MIDA,20190110,0.00,0.00,0.00,0.00,0
ROBINS,20190110,0.00,0.00,0.00,0.00,0
RSP,20190110,0.00,0.00,0.00,0.00,0
SINGER,20190110,0.00,0.00,0.00,0.00,0
SPC,20190110,0.00,0.00,0.00,0.00,0
SPI,20190110,0.00,0.00,0.00,0.00,0
AHC,20190110,135.00,137.00,135.00,137.00,700
BCH,20190110,0.61,0.63,0.59,0.60,5525300
BDMS,20190110,12.60,13.10,12.60,12.90,3053900
BH,20190110,2.56,2.58,2.56,2.58,11700
CHG,20190110,1.82,1.82,1.79,1.79,9698400
CMR,20190110,2.72,2.72,2.60,2.68,169500
EKH,20190110,14.20,14.30,13.90,14.00,4603700
KDH,20190110,1.57,1.58,1.56,1.56,1
LPH,20190110,8.00,8.00,7.90,7.95,56400
M-CHAI,20190110,4.46,4.46,4.46,4.46,1300
NEW,20190110,5.35,5.35,5.25,5.25,5
NTV,20190110,0.42,0.42,0.41,0.41,30500
PR9,20190110,0.00,0.00,0.00,0.00,0
RAM,20190110,0.00,0.00,0.00,0.00,0
RJH,20190110,0.00,0.00,0.00,0.00,0
RPH,20190110,0.00,0.00,0.00,0.00,0
SKR,20190110,0.00,0.00,0.00,0.00,0
SVH,20190110,0.00,0.00,0.00,0.00,0
THG,20190110,0.00,0.00,0.00,0.00,0
VIBHA,20190110,0.00,0.00,0.00,0.00,0
VIH,20190110,0.00,0.00,0.00,0.00,0
WPH,20190110,0.00,0.00,0.00,0.00,0
AMARIN,20190110,135.00,137.00,135.00,137.00,700
AQUA,20190110,0.61,0.63,0.59,0.60,5525300
AS,20190110,12.60,13.10,12.60,12.90,3053900
BEC,20190110,2.56,2.58,2.56,2.58,11700
EPCO,20190110,1.82,1.82,1.79,1.79,9698400
FE,20190110,2.72,2.72,2.60,2.68,169500
GPI,20190110,14.20,14.30,13.90,14.00,4603700
GRAMMY,20190110,1.57,1.58,1.56,1.56,1
MACO,20190110,8.00,8.00,7.90,7.95,56400
MAJOR,20190110,4.46,4.46,4.46,4.46,1300
MATCH,20190110,5.35,5.35,5.25,5.25,5
MATI,20190110,0.42,0.42,0.41,0.41,30500
MCOT,20190110,0.00,0.00,0.00,0.00,0
MONO,20190110,0.00,0.00,0.00,0.00,0
MPIC,20190110,0.00,0.00,0.00,0.00,0
